hmm after training:
probList_hmm_true size: 5293197
fp	fn-15	fn-half-15	threshold
0.0	0.12860000000000005	0.26170000000000004	2.2343678487461142E-7
1.0E-4	0.0021999999999999797	0.010299999999999976	0.04269848357668045
2.0E-4	0.0016000000000000458	0.008099999999999996	0.053855674318602144
3.0E-4	0.0012999999999999678	0.006900000000000017	0.0621164640384107
4.0E-4	8.000000000000229E-4	0.006099999999999994	0.07137906277068147
5.0E-4	7.000000000000339E-4	0.005499999999999949	0.07751371270310639
6.0E-4	4.999999999999449E-4	0.005199999999999982	0.08010589610149545
7.0E-4	4.999999999999449E-4	0.005199999999999982	0.08183092975353776
8.0E-4	4.999999999999449E-4	0.005199999999999982	0.08369200890663907
9.0E-4	4.999999999999449E-4	0.005099999999999993	0.0852796163057569
0.001	4.999999999999449E-4	0.0049000000000000155	0.08683893972935587
0.002	4.999999999999449E-4	0.0040999999999999925	0.10174519373673495
0.003	3.9999999999995595E-4	0.0030999999999999917	0.12091532175701131
0.004	2.9999999999996696E-4	0.0022999999999999687	0.13820946103058857
0.005	1.9999999999997797E-4	0.0016000000000000458	0.15358607403880498
0.006	1.9999999999997797E-4	0.0012999999999999678	0.16840622135613426
0.007	1.9999999999997797E-4	0.0010999999999999899	0.18551210804446064
0.008	1.9999999999997797E-4	7.000000000000339E-4	0.20089618324463554
0.009	1.9999999999997797E-4	7.000000000000339E-4	0.21668203265241956
0.01	9.999999999998899E-5	6.000000000000449E-4	0.2247153126055137
0.02	9.999999999998899E-5	1.9999999999997797E-4	0.27441038174115384
0.03	9.999999999998899E-5	1.9999999999997797E-4	0.30694260249985705
0.04	9.999999999998899E-5	1.9999999999997797E-4	0.3233964058457566
0.05	0.0	9.999999999998899E-5	0.333642266116189
0.06	0.0	9.999999999998899E-5	0.34577461037707363
0.07	0.0	9.999999999998899E-5	0.3531834671628976
0.08	0.0	9.999999999998899E-5	0.3589015201150855
0.09	0.0	9.999999999998899E-5	0.36732258316041444
0.1	0.0	9.999999999998899E-5	0.3713418400408881
0.15	0.0	9.999999999998899E-5	0.3932520437741195
0.2	0.0	9.999999999998899E-5	0.41387903402859416
0.25	0.0	0.0	0.4435245210207969
0.3	0.0	0.0	0.46095578339456866
0.35	0.0	0.0	0.4809227842820143
0.4	0.0	0.0	0.5159523617261281
0.45	0.0	0.0	0.5815447085133951
0.5	0.0	0.0	0.6277421488080746
hmm after 5 iterations:
probList_hmm_true size: 5293197
fp	fn-15	fn-half-15	threshold
0.0	0.25470000000000004	0.49750000000000005	0.0330107141626711
1.0E-4	0.12170000000000003	0.3268	0.049462028403663656
2.0E-4	0.1169	0.3176	0.050476352237945256
3.0E-4	0.11180000000000001	0.3094	0.051461694724255706
4.0E-4	0.10919999999999996	0.3042	0.052090764581855735
5.0E-4	0.10540000000000005	0.2985	0.05285701904049362
6.0E-4	0.10119999999999996	0.2915	0.05384349425754706
7.0E-4	0.09560000000000002	0.2811	0.05513101456559089
8.0E-4	0.0907	0.27080000000000004	0.05654292839119018
9.0E-4	0.08389999999999997	0.2542	0.05861220750152487
0.001	0.07879999999999998	0.24480000000000002	0.059861677637373
0.002	0.04169999999999996	0.16010000000000002	0.07480841274428104
0.003	0.022299999999999986	0.09930000000000005	0.09033658357124026
0.004	0.012599999999999945	0.0686	0.10359930194763801
0.005	0.008000000000000007	0.04849999999999999	0.11572710397587666
0.006	0.005600000000000049	0.037799999999999945	0.12457402646659708
0.007	0.0044999999999999485	0.03369999999999995	0.1295357868877864
0.008	0.0038000000000000256	0.029900000000000038	0.13424187651353808
0.009	0.0030000000000000027	0.026499999999999968	0.13889240454118365
0.01	0.0027000000000000357	0.02080000000000004	0.1481799044167035
0.02	0.0012999999999999678	0.011700000000000044	0.1662457318467661
0.03	7.000000000000339E-4	0.00539999999999996	0.19306331239857558
0.04	1.9999999999997797E-4	0.0028000000000000247	0.21752834503138732
0.05	1.9999999999997797E-4	0.0012999999999999678	0.24353808719118356
0.06	9.999999999998899E-5	6.000000000000449E-4	0.2777743901389416
0.07	9.999999999998899E-5	3.9999999999995595E-4	0.299254183228206
0.08	9.999999999998899E-5	9.999999999998899E-5	0.31360071529333194
0.09	9.999999999998899E-5	9.999999999998899E-5	0.323782570956205
0.1	9.999999999998899E-5	9.999999999998899E-5	0.33863531790359963
0.15	0.0	9.999999999998899E-5	0.3833489098870589
0.2	0.0	0.0	0.3971571307329688
0.25	0.0	0.0	0.411702652616555
0.3	0.0	0.0	0.4708947516550238
0.35	0.0	0.0	0.500013147046328
0.4	0.0	0.0	0.5267570824923073
0.45	0.0	0.0	0.5831728946279933
0.5	0.0	0.0	0.6127742962062008
hmm after 10 iterations:
probList_hmm_true size: 5293197
fp	fn-15	fn-half-15	threshold
0.0	0.1723	0.3538	0.0077814341840076
1.0E-4	0.020499999999999963	0.07930000000000004	0.04510422915923006
2.0E-4	0.014700000000000046	0.06410000000000005	0.05248975240704956
3.0E-4	0.01429999999999998	0.06310000000000004	0.05325106817519351
4.0E-4	0.01319999999999999	0.060799999999999965	0.054954829860566524
5.0E-4	0.012800000000000034	0.05940000000000001	0.05552274200593319
6.0E-4	0.011800000000000033	0.05700000000000005	0.057197953374409236
7.0E-4	0.010700000000000043	0.05249999999999999	0.06014232485340062
8.0E-4	0.010600000000000054	0.0514	0.06132525439452171
9.0E-4	0.010099999999999998	0.04920000000000002	0.06276753840902563
0.001	0.009600000000000053	0.04730000000000001	0.0640625156698561
0.002	0.005900000000000016	0.033499999999999974	0.08046228252609705
0.003	0.0030000000000000027	0.023800000000000043	0.09688574063079158
0.004	0.0022999999999999687	0.01749999999999996	0.10898701547311479
0.005	0.0010999999999999899	0.011800000000000033	0.12505130916089285
0.006	6.000000000000449E-4	0.009600000000000053	0.13886074173175667
0.007	4.999999999999449E-4	0.007299999999999973	0.1480796353497183
0.008	4.999999999999449E-4	0.006099999999999994	0.1561914979833047
0.009	4.999999999999449E-4	0.005600000000000049	0.15990905453286788
0.01	3.9999999999995595E-4	0.0050000000000000044	0.16673554017569975
0.02	1.9999999999997797E-4	0.0029000000000000137	0.1912530610736631
0.03	9.999999999998899E-5	0.0010999999999999899	0.21940562606717826
0.04	9.999999999998899E-5	7.000000000000339E-4	0.24419387652228874
0.05	9.999999999998899E-5	3.9999999999995595E-4	0.27248267422540795
0.06	9.999999999998899E-5	1.9999999999997797E-4	0.29975183886265283
0.07	9.999999999998899E-5	9.999999999998899E-5	0.3151742225640625
0.08	9.999999999998899E-5	9.999999999998899E-5	0.3235235721984203
0.09	9.999999999998899E-5	9.999999999998899E-5	0.34273290255570865
0.1	9.999999999998899E-5	9.999999999998899E-5	0.3621419132296166
0.15	9.999999999998899E-5	9.999999999998899E-5	0.38500553362090034
0.2	0.0	9.999999999998899E-5	0.40180126607308925
0.25	0.0	0.0	0.4143964818849287
0.3	0.0	0.0	0.4878626547962203
0.35	0.0	0.0	0.501204998933772
0.4	0.0	0.0	0.5267445152334118
0.45	0.0	0.0	0.5869185966922639
0.5	0.0	0.0	0.6164312042725205
hmm after 15 iterations:
probList_hmm_true size: 5293197
fp	fn-15	fn-half-15	threshold
0.0	0.15180000000000005	0.30600000000000005	0.0017874876962247282
1.0E-4	0.010499999999999954	0.048699999999999966	0.037970614740353806
2.0E-4	0.007000000000000006	0.03759999999999997	0.04901567761449731
3.0E-4	0.006199999999999983	0.03520000000000001	0.052397551552946564
4.0E-4	0.0050000000000000044	0.03080000000000005	0.058977905127001636
5.0E-4	0.0048000000000000265	0.02949999999999997	0.0610990892009329
6.0E-4	0.0047000000000000375	0.02859999999999996	0.06316473452637224
7.0E-4	0.0043999999999999595	0.027599999999999958	0.06514518152312564
8.0E-4	0.0042999999999999705	0.026800000000000046	0.0662144133939658
9.0E-4	0.0042999999999999705	0.026000000000000023	0.06739915635005438
0.001	0.0040999999999999925	0.024399999999999977	0.0696050234607441
0.002	0.0021999999999999797	0.018000000000000016	0.08822205562602131
0.003	0.0018000000000000238	0.013599999999999945	0.10119990087273559
0.004	0.0010999999999999899	0.00990000000000002	0.11444193626180231
0.005	7.000000000000339E-4	0.006900000000000017	0.1340051968610096
0.006	3.9999999999995595E-4	0.005099999999999993	0.15090608652934542
0.007	2.9999999999996696E-4	0.0040999999999999925	0.1647170531126955
0.008	2.9999999999996696E-4	0.0031999999999999806	0.17169366312632553
