rand_hmm after learning:
probList_rand_true size: 5293197
fp	fn-15	fn-half-15	threshold
0.0	0.031000000000000028	0.08230000000000004	0.00931644570601026
1.0E-4	0.027100000000000013	0.07640000000000002	0.011631466263207846
2.0E-4	0.0252	0.07140000000000002	0.01367626250195846
3.0E-4	0.0242	0.06899999999999995	0.014923415635499728
4.0E-4	0.022199999999999998	0.06299999999999994	0.017485773193668664
5.0E-4	0.02100000000000002	0.06020000000000003	0.019550815480654304
6.0E-4	0.020199999999999996	0.057699999999999974	0.02089007098690223
7.0E-4	0.01980000000000004	0.05630000000000002	0.021879229680192378
8.0E-4	0.019399999999999973	0.05579999999999996	0.022687704448890792
9.0E-4	0.019000000000000017	0.05459999999999998	0.02376096428277774
0.001	0.01880000000000004	0.05369999999999997	0.024691191213288822
0.002	0.014800000000000035	0.045599999999999974	0.03441402042218797
0.003	0.011700000000000044	0.03869999999999996	0.043910459142732096
0.004	0.009800000000000031	0.03490000000000004	0.05298909754202569
0.005	0.007399999999999962	0.02939999999999998	0.065271476826506
0.006	0.0046000000000000485	0.020499999999999963	0.09119146919927962
0.007	0.0023999999999999577	0.011600000000000055	0.122211475131913
0.008	4.999999999999449E-4	0.007099999999999995	0.1505881382871862
0.009	3.9999999999995595E-4	0.005600000000000049	0.16438446701380816
0.01	1.9999999999997797E-4	0.0046000000000000485	0.17639843824247584
0.02	9.999999999998899E-5	0.0020999999999999908	0.22211237154452723
0.03	9.999999999998899E-5	0.0012999999999999678	0.24397147381909068
0.04	9.999999999998899E-5	7.000000000000339E-4	0.26351174219838874
0.05	0.0	9.999999999998899E-5	0.2864146305928705
0.06	0.0	9.999999999998899E-5	0.3118753527565206
0.07	0.0	9.999999999998899E-5	0.3367025471606843
0.08	0.0	0.0	0.355406264427338
0.09	0.0	0.0	0.3713932093680211
0.1	0.0	0.0	0.3845845152477188
0.15	0.0	0.0	0.42115467705532345
0.2	0.0	0.0	0.4498632521994542
0.25	0.0	0.0	0.4724595260779974
0.3	0.0	0.0	0.49297403348722174
0.35	0.0	0.0	0.5206381553677594
0.4	0.0	0.0	0.5557324760095471
0.45	0.0	0.0	0.5742321137927353
0.5	0.0	0.0	0.6194453142571801
rand_hmm after 5 ierations:
probList_rand_true size: 5293197
fp	fn-15	fn-half-15	threshold
0.0	0.9992	1.0	0.0036945961671469717
1.0E-4	0.9988	0.9998	0.00420473479390327
2.0E-4	0.9985	0.9993	0.004511516599882788
3.0E-4	0.9975	0.9982	0.0050339744402424095
4.0E-4	0.9959	0.9973	0.005768254101704486
5.0E-4	0.9942	0.996	0.006540737308567036
6.0E-4	0.9911	0.9948	0.007113870100354043
7.0E-4	0.989	0.9928	0.007664819248321175
8.0E-4	0.9873	0.9917	0.008023192538972452
9.0E-4	0.9861	0.9914	0.008184076720859447
0.001	0.9851	0.9903	0.008525634193876403
0.002	0.9697	0.9775	0.011183231387430635
0.003	0.9549	0.967	0.013633836463901174
0.004	0.9289000000000001	0.947	0.017476175167920396
0.005	0.8907	0.9234	0.0218514645437525
0.006	0.7982	0.8654999999999999	0.030605470513101685
0.007	0.6839	0.7947	0.04036749235243539
0.008	0.5788	0.7167	0.05000742462096533
0.009	0.4857	0.6432	0.05813678646744867
0.01	0.4587	0.6227	0.06056693016841483
0.02	0.2742	0.4575	0.07954579109607088
0.03	0.18730000000000002	0.36150000000000004	0.09168286655961591
0.04	0.1472	0.3143	0.0982937401663556
0.05	0.08499999999999996	0.21760000000000002	0.11368454432765152
0.06	0.0645	0.1765	0.12184664500644429
0.07	0.04530000000000001	0.13929999999999998	0.13075523653918314
0.08	0.02969999999999995	0.1018	0.14152703532263963
0.09	0.016100000000000003	0.06559999999999999	0.1563283019814441
0.1	0.008000000000000007	0.03359999999999996	0.17416646944272637
0.15	0.0	9.000000000000119E-4	0.284924753616092
0.2	0.0	1.9999999999997797E-4	0.34249024881988577
0.25	0.0	1.9999999999997797E-4	0.3537630162959886
0.3	0.0	0.0	0.3860271427453118
0.35	0.0	0.0	0.43358050197815906
0.4	0.0	0.0	0.45166702001359504
0.45	0.0	0.0	0.5041478688200138
0.5	0.0	0.0	0.5548694092539279
rand_hmm after 10 iterations:
probList_rand_true size: 5293197
fp	fn-15	fn-half-15	threshold
0.0	0.9981	0.9988	0.005391480784277978
1.0E-4	0.9948	0.9978	0.006388723546114786
2.0E-4	0.9922	0.9955	0.007850371937769928
3.0E-4	0.9906	0.9945	0.008507026032151747
4.0E-4	0.9879	0.9923	0.009611706255559368
5.0E-4	0.9856	0.9902	0.010353218982171815
6.0E-4	0.9812	0.9885	0.011543098539184308
7.0E-4	0.9775	0.9869	0.01218866567177271
8.0E-4	0.971	0.9837	0.013334560404447545
9.0E-4	0.9683	0.9818	0.013760887410206923
0.001	0.9639	0.979	0.01463473309578461
0.002	0.9353	0.9649	0.018887285563469386
0.003	0.9065	0.9508	0.022166684919755476
0.004	0.8564	0.9296	0.026547915556099668
0.005	0.7937	0.8958	0.03154646893875563
0.006	0.6121	0.7906	0.04419188993904345
0.007	0.30400000000000005	0.5275000000000001	0.0705364625433514
0.008	0.14980000000000004	0.3396	0.09228848134572555
0.009	0.12780000000000002	0.30689999999999995	0.09676337289696475
0.01	0.11870000000000003	0.2934	0.09872685852861075
0.02	0.05289999999999995	0.1664	0.12094700438100946
0.03	0.02959999999999996	0.1049	0.13696200302535425
0.04	0.01739999999999997	0.07330000000000003	0.14961017337184296
0.05	0.012900000000000023	0.05510000000000004	0.15978725262434224
0.06	0.008600000000000052	0.0373	0.17045248234290283
0.07	0.005800000000000027	0.02400000000000002	0.18298785779515064
0.08	0.0032999999999999696	0.015800000000000036	0.1951226817771969
0.09	0.0017000000000000348	0.009199999999999986	0.21408029526394406
0.1	3.9999999999995595E-4	0.0042999999999999705	0.23745612355147103
0.15	0.0	1.9999999999997797E-4	0.33668162645889244
0.2	0.0	9.999999999998899E-5	0.38077181353428413
0.25	0.0	0.0	0.4011130029279845
0.3	0.0	0.0	0.4115781373240127
0.35	0.0	0.0	0.4940011565194883
0.4	0.0	0.0	0.5192131762437046
0.45	0.0	0.0	0.5675292491207157
0.5	0.0	0.0	0.6090853036357473
rand_hmm after 15 iterations:
probList_rand_true size: 5293197
fp	fn-15	fn-half-15	threshold
0.0	0.9639	0.9865	0.007585481615195175
1.0E-4	0.9454	0.98	0.009114103539024632
2.0E-4	0.9255	0.9717	0.01057883314374707
3.0E-4	0.91	0.9648	0.011641441543742331
4.0E-4	0.8963	0.9598	0.012518247132890934
5.0E-4	0.8593999999999999	0.9421	0.014923946484525885
6.0E-4	0.8461	0.9358	0.015710477909089894
7.0E-4	0.8351999999999999	0.9316	0.016331575272600023
8.0E-4	0.8231999999999999	0.9252	0.017054610239601
9.0E-4	0.8115	0.9193	0.01762335683409876
0.001	0.7979	0.9152	0.018332864614370142
0.002	0.6907	0.8605	0.023814971232292925
0.003	0.6189	0.8128	0.027739044816027486
0.004	0.5481	0.766	0.03166998149583242
0.005	0.4589	0.6987	0.0371525455852439
0.006	0.26480000000000004	0.494	0.05381109886611092
0.007	0.06689999999999996	0.20340000000000003	0.0914713943330975
0.008	0.02939999999999998	0.11099999999999999	0.11368028236921973
0.009	0.02290000000000003	0.08789999999999998	0.12124475252033373
0.01	0.01870000000000005	0.07369999999999999	0.1278571408445128
0.02	0.006299999999999972	0.03420000000000001	0.15573229769128133
0.03	0.0034999999999999476	0.021700000000000053	0.16958313650517282
0.04	0.0020000000000000018	0.012399999999999967	0.18275293282228589
0.05	0.0011999999999999789	0.008199999999999985	0.19653772152020507
0.06	7.000000000000339E-4	0.006000000000000005	0.20702647683263317
0.07	2.9999999999996696E-4	0.0046000000000000485	0.22281124731429922
0.08	1.9999999999997797E-4	0.0028000000000000247	0.23714788706434542
0.09	9.999999999998899E-5	0.0018000000000000238	0.2540477514805979
0.1	0.0	0.0010999999999999899	0.2747243117280465
0.15	0.0	9.999999999998899E-5	0.3661292336417568
0.2	0.0	9.999999999998899E-5	0.3820163752058959
0.25	0.0	9.999999999998899E-5	0.3989739254317488
0.3	0.0	0.0	0.43809538456068725
0.35	0.0	0.0	0.49234643331212563
0.4	0.0	0.0	0.5117481975282036
0.45	0.0	0.0	0.5807737200045938
0.5	0.0	0.0	0.6139662273543411
