hmm after training:
probList_hmm_true size: 20219
fp	fn-15	fn-half-15	threshold
0.0	0.0030999999999999917	0.011600000000000055	0.18346461618404228
1.0E-4	0.0020999999999999908	0.009199999999999986	0.21104277724929332
2.0E-4	0.0019000000000000128	0.008099999999999996	0.22314953988253397
3.0E-4	0.0016000000000000458	0.007199999999999984	0.2319943810840696
4.0E-4	0.0013999999999999568	0.006000000000000005	0.24703673249355607
5.0E-4	0.0013999999999999568	0.005299999999999971	0.2545269093989935
6.0E-4	0.0010999999999999899	0.0043999999999999595	0.2668370903746561
7.0E-4	0.0010999999999999899	0.0043999999999999595	0.2668370903746561
8.0E-4	0.0010999999999999899	0.0043999999999999595	0.2668370903746561
9.0E-4	0.0010999999999999899	0.0043999999999999595	0.2670290423336118
0.001	0.0010999999999999899	0.0042999999999999705	0.26781624287727546
0.002	9.000000000000119E-4	0.0031999999999999806	0.29864036367641106
0.003	9.000000000000119E-4	0.0028000000000000247	0.3055241621502277
0.004	9.000000000000119E-4	0.0024999999999999467	0.3086192825697932
0.005	9.000000000000119E-4	0.0024999999999999467	0.3109265312333459
0.006	8.000000000000229E-4	0.0024999999999999467	0.3125372284429624
0.007	8.000000000000229E-4	0.0023999999999999577	0.31475367494093803
0.008	8.000000000000229E-4	0.0023999999999999577	0.3175869082957148
0.009	8.000000000000229E-4	0.0023999999999999577	0.3205302046466307
0.01	8.000000000000229E-4	0.0023999999999999577	0.32288108194043086
0.02	3.9999999999995595E-4	0.0020999999999999908	0.33936909383364744
0.03	2.9999999999996696E-4	0.0019000000000000128	0.35607644782753106
0.04	2.9999999999996696E-4	0.0014999999999999458	0.36791451530313546
0.05	2.9999999999996696E-4	0.0014999999999999458	0.373695470439364
0.06	2.9999999999996696E-4	0.0013999999999999568	0.38154660254445383
0.07	2.9999999999996696E-4	0.0010000000000000009	0.38828548957220366
0.08	1.9999999999997797E-4	9.000000000000119E-4	0.3937722327487151
0.09	1.9999999999997797E-4	9.000000000000119E-4	0.39733738482045206
0.1	1.9999999999997797E-4	9.000000000000119E-4	0.4013734481467041
0.15	1.9999999999997797E-4	3.9999999999995595E-4	0.42039717910335517
0.2	1.9999999999997797E-4	2.9999999999996696E-4	0.43220133544238
0.25	1.9999999999997797E-4	2.9999999999996696E-4	0.44278108559907725
0.3	1.9999999999997797E-4	2.9999999999996696E-4	0.452555680153986
0.35	0.0	9.999999999998899E-5	0.46331408781166916
0.4	0.0	9.999999999998899E-5	0.4729230372762729
0.45	0.0	9.999999999998899E-5	0.48168159635488156
0.5	0.0	9.999999999998899E-5	0.49064444868986556
hmm after 5 iterations:
probList_hmm_true size: 20219
fp	fn-15	fn-half-15	threshold
0.0	0.1652	0.35540000000000005	0.13618464544055067
1.0E-4	0.09950000000000003	0.23440000000000005	0.1586808812763743
2.0E-4	0.08360000000000001	0.20730000000000004	0.16581940978413662
3.0E-4	0.08150000000000002	0.20279999999999998	0.1670602198583926
4.0E-4	0.08050000000000002	0.20099999999999996	0.16744674900953782
5.0E-4	0.07320000000000004	0.1865	0.1715262300660977
6.0E-4	0.05520000000000003	0.14949999999999997	0.1824170313240349
7.0E-4	0.047799999999999954	0.13329999999999997	0.1884043004539348
8.0E-4	0.04359999999999997	0.12290000000000001	0.1921836469791846
9.0E-4	0.04359999999999997	0.12239999999999995	0.19230225206269363
0.001	0.04359999999999997	0.12239999999999995	0.19230225206269363
0.002	0.0383	0.10440000000000005	0.1986680801305782
0.003	0.034599999999999964	0.09389999999999998	0.20258234059229294
0.004	0.030399999999999983	0.08460000000000001	0.20717117254792322
0.005	0.026599999999999957	0.07479999999999998	0.21265661732655447
0.006	0.026499999999999968	0.07410000000000005	0.2132515072853678
0.007	0.026100000000000012	0.07399999999999995	0.21348736139852326
0.008	0.024700000000000055	0.07069999999999999	0.21532947589597232
0.009	0.023399999999999976	0.0686	0.21635569947280064
0.01	0.02070000000000005	0.06110000000000004	0.22104593978730652
0.02	0.013000000000000012	0.040100000000000025	0.23879838756202001
0.03	0.009600000000000053	0.03149999999999997	0.24832931072947517
0.04	0.008399999999999963	0.027800000000000047	0.25393991643988245
0.05	0.00649999999999995	0.02410000000000001	0.25965698574352497
0.06	0.0046000000000000485	0.01959999999999995	0.26863749831428285
0.07	0.0041999999999999815	0.017900000000000027	0.27301676429529836
0.08	0.0030999999999999917	0.013700000000000045	0.28410215375994563
0.09	0.0023999999999999577	0.011800000000000033	0.29016571738411895
0.1	0.0018000000000000238	0.010000000000000009	0.2980080134962764
0.15	6.000000000000449E-4	0.0048000000000000265	0.3278333340622648
0.2	4.999999999999449E-4	0.0032999999999999696	0.3485016359730271
0.25	3.9999999999995595E-4	0.0019000000000000128	0.37021486362838335
0.3	3.9999999999995595E-4	0.0011999999999999789	0.38214946273311123
0.35	2.9999999999996696E-4	7.000000000000339E-4	0.39590081592938986
0.4	2.9999999999996696E-4	4.999999999999449E-4	0.4042757313243315
0.45	1.9999999999997797E-4	2.9999999999996696E-4	0.41570079426369105
0.5	1.9999999999997797E-4	2.9999999999996696E-4	0.4275643407258758
hmm after 10 iterations:
probList_hmm_true size: 20219
fp	fn-15	fn-half-15	threshold
0.0	0.013299999999999979	0.043300000000000005	0.15397881228096075
1.0E-4	0.008099999999999996	0.028000000000000025	0.18514603540281235
2.0E-4	0.0041999999999999815	0.01629999999999998	0.22014292083550013
3.0E-4	0.0039000000000000146	0.015900000000000025	0.22276222039045662
4.0E-4	0.0033999999999999586	0.015100000000000002	0.22622093220864486
5.0E-4	0.0030000000000000027	0.014100000000000001	0.23099636430512863
6.0E-4	0.0028000000000000247	0.011700000000000044	0.24014121990371404
7.0E-4	0.0024999999999999467	0.010499999999999954	0.24773519700132055
8.0E-4	0.0024999999999999467	0.010399999999999965	0.24825703622842038
9.0E-4	0.0024999999999999467	0.010099999999999998	0.25073554595122205
0.001	0.0024999999999999467	0.009600000000000053	0.25347937888347877
0.002	0.0020999999999999908	0.008399999999999963	0.2615287616911294
0.003	0.0020999999999999908	0.008399999999999963	0.2619572308749488
0.004	0.0020000000000000018	0.007900000000000018	0.26778472091330535
0.005	0.0020000000000000018	0.007600000000000051	0.27090740541270764
0.006	0.0020000000000000018	0.007600000000000051	0.27090740541270764
0.007	0.0019000000000000128	0.007299999999999973	0.27196033571173095
0.008	0.0017000000000000348	0.006900000000000017	0.2752718534175275
0.009	0.0017000000000000348	0.006700000000000039	0.2762739796012771
0.01	0.0017000000000000348	0.006299999999999972	0.2800207426055652
0.02	7.000000000000339E-4	0.0042999999999999705	0.30416548721415493
0.03	4.999999999999449E-4	0.0032999999999999696	0.32420366817147034
0.04	3.9999999999995595E-4	0.0031999999999999806	0.3337412731951608
0.05	2.9999999999996696E-4	0.0028000000000000247	0.34184601465545744
0.06	2.9999999999996696E-4	0.0024999999999999467	0.34806114630691903
0.07	2.9999999999996696E-4	0.0023999999999999577	0.35135174139481257
0.08	2.9999999999996696E-4	0.0019000000000000128	0.3577607876162023
0.09	2.9999999999996696E-4	0.0017000000000000348	0.361134157421926
0.1	2.9999999999996696E-4	0.0014999999999999458	0.3657639848514109
0.15	2.9999999999996696E-4	0.0012999999999999678	0.3841365453003443
0.2	1.9999999999997797E-4	9.000000000000119E-4	0.4018452685668332
0.25	1.9999999999997797E-4	3.9999999999995595E-4	0.4166519815879154
0.3	1.9999999999997797E-4	3.9999999999995595E-4	0.4285592135597301
0.35	1.9999999999997797E-4	3.9999999999995595E-4	0.43693467673283143
0.4	1.9999999999997797E-4	3.9999999999995595E-4	0.4445197629322647
0.45	1.9999999999997797E-4	2.9999999999996696E-4	0.4512961798390362
0.5	9.999999999998899E-5	1.9999999999997797E-4	0.46010557364794524
hmm after 15 iterations:
