rand_hmm after learning:
probList_rand_true size: 20219
fp	fn-15	fn-half-15	threshold
0.0	0.053300000000000014	0.11650000000000005	0.08939260961716626
1.0E-4	0.042200000000000015	0.0958	0.10532552158007355
2.0E-4	0.042200000000000015	0.0958	0.10532552158007355
3.0E-4	0.042200000000000015	0.0958	0.10532552158007355
4.0E-4	0.042200000000000015	0.0958	0.10532552158007355
5.0E-4	0.041000000000000036	0.09350000000000003	0.1071364632688731
6.0E-4	0.041000000000000036	0.09350000000000003	0.1071364632688731
7.0E-4	0.041000000000000036	0.09350000000000003	0.1071364632688731
8.0E-4	0.040000000000000036	0.09150000000000003	0.10884015521666365
9.0E-4	0.03359999999999996	0.07950000000000002	0.1193485842262601
0.001	0.03359999999999996	0.07950000000000002	0.1193485842262601
0.002	0.03300000000000003	0.07779999999999998	0.12032601907133017
0.003	0.03290000000000004	0.07730000000000004	0.12071756257453875
0.004	0.03080000000000005	0.07310000000000005	0.12535799487778618
0.005	0.03059999999999996	0.07250000000000001	0.12582852206090803
0.006	0.02859999999999996	0.06710000000000005	0.13071280432509996
0.007	0.02839999999999998	0.06669999999999998	0.13101770640369662
0.008	0.02749999999999997	0.06469999999999998	0.13315002257831243
0.009	0.026800000000000046	0.06279999999999997	0.13469273135590407
0.01	0.026699999999999946	0.06220000000000003	0.13525524434708203
0.02	0.01870000000000005	0.04700000000000004	0.15373678891693476
0.03	0.012599999999999945	0.03600000000000003	0.17150224840423173
0.04	0.009499999999999953	0.02629999999999999	0.18933332907377481
0.05	0.007800000000000029	0.021599999999999953	0.20035404328868878
0.06	0.005499999999999949	0.016599999999999948	0.214261046716831
0.07	0.0039000000000000146	0.012700000000000045	0.22942305015731693
0.08	0.0034999999999999476	0.011199999999999988	0.2377301389936191
0.09	0.0030999999999999917	0.009099999999999997	0.2456436023644817
0.1	0.0027000000000000357	0.008000000000000007	0.25283706346201507
0.15	0.0010000000000000009	0.0047000000000000375	0.2856069787795708
0.2	8.000000000000229E-4	0.0028000000000000247	0.3091826380956548
0.25	3.9999999999995595E-4	0.0021999999999999797	0.33133462360541444
