hmm after training:
probList_hmm_true size: 53965
fp	fn-15	fn-half-15	threshold
0.0	0.01959999999999995	0.05159999999999998	0.04270259732642295
1.0E-4	1.9999999999997797E-4	4.999999999999449E-4	0.30873131482981137
2.0E-4	9.999999999998899E-5	3.9999999999995595E-4	0.35138561729416656
3.0E-4	9.999999999998899E-5	3.9999999999995595E-4	0.3599321175547449
4.0E-4	9.999999999998899E-5	1.9999999999997797E-4	0.3710036560821026
5.0E-4	9.999999999998899E-5	9.999999999998899E-5	0.37777750834112245
6.0E-4	9.999999999998899E-5	9.999999999998899E-5	0.37777750834112245
7.0E-4	9.999999999998899E-5	9.999999999998899E-5	0.37777750834112245
8.0E-4	9.999999999998899E-5	9.999999999998899E-5	0.37901218143907706
9.0E-4	9.999999999998899E-5	9.999999999998899E-5	0.38702133098115915
0.001	0.0	9.999999999998899E-5	0.3914039762814324
0.002	0.0	9.999999999998899E-5	0.40776771080074903
0.003	0.0	9.999999999998899E-5	0.4255639699519376
0.004	0.0	9.999999999998899E-5	0.4372680716150936
0.005	0.0	9.999999999998899E-5	0.44642470604389994
0.006	0.0	9.999999999998899E-5	0.4611975014398564
0.007	0.0	0.0	0.4719223441724848
0.008	0.0	0.0	0.48225887689259156
0.009	0.0	0.0	0.489920925641938
0.01	0.0	0.0	0.49266587024449165
0.02	0.0	0.0	0.5627666811400358
0.03	0.0	0.0	0.6181909067925021
0.04	0.0	0.0	0.6389220607219132
0.05	0.0	0.0	0.6553625945825772
0.06	0.0	0.0	0.7162396817071324
0.07	0.0	0.0	0.7162396817071324
0.08	0.0	0.0	0.7162396817071324
0.09	0.0	0.0	0.7162396817071324
0.1	0.0	0.0	0.7162396817071324
0.15	0.0	0.0	0.7185834803089598
0.2	0.0	0.0	0.7185834803089598
0.25	0.0	0.0	0.7261242370536167
0.3	0.0	0.0	0.7261242370536167
0.35	0.0	0.0	0.7270139792417178
0.4	0.0	0.0	0.7270139792417178
0.45	0.0	0.0	0.7453872213428631
0.5	0.0	0.0	0.7453872213428631
hmm after 5 iterations:
probList_hmm_true size: 53965
fp	fn-15	fn-half-15	threshold
0.0	0.0032999999999999696	0.013700000000000045	0.21633281577246471
1.0E-4	6.000000000000449E-4	0.0016000000000000458	0.30262442751455315
2.0E-4	4.999999999999449E-4	0.0014999999999999458	0.3101494082615341
3.0E-4	1.9999999999997797E-4	0.0012999999999999678	0.31802000553396387
4.0E-4	1.9999999999997797E-4	0.0010000000000000009	0.3284705078195729
5.0E-4	1.9999999999997797E-4	0.0010000000000000009	0.33269180397189485
6.0E-4	9.999999999998899E-5	6.000000000000449E-4	0.3463928937158609
7.0E-4	9.999999999998899E-5	6.000000000000449E-4	0.34941891295554317
8.0E-4	9.999999999998899E-5	6.000000000000449E-4	0.35575624662039707
9.0E-4	9.999999999998899E-5	4.999999999999449E-4	0.3636529016327752
0.001	9.999999999998899E-5	3.9999999999995595E-4	0.36517226788483487
0.002	9.999999999998899E-5	3.9999999999995595E-4	0.38250443316967786
0.003	0.0	3.9999999999995595E-4	0.38920694573727854
0.004	0.0	2.9999999999996696E-4	0.39321526547701624
0.005	0.0	1.9999999999997797E-4	0.40141029388514904
0.006	0.0	1.9999999999997797E-4	0.41255149611818814
0.007	0.0	1.9999999999997797E-4	0.42058568922387274
0.008	0.0	1.9999999999997797E-4	0.43133856510180046
0.009	0.0	1.9999999999997797E-4	0.4377104261454655
0.01	0.0	1.9999999999997797E-4	0.4442881677387807
0.02	0.0	0.0	0.49711954972423683
0.03	0.0	0.0	0.6191981311098463
0.04	0.0	0.0	0.6330157480475
0.05	0.0	0.0	0.6458754376034771
0.06	0.0	0.0	0.7168274637259402
0.07	0.0	0.0	0.7168274637259402
0.08	0.0	0.0	0.7168274637259402
0.09	0.0	0.0	0.7168274637259402
0.1	0.0	0.0	0.7168274637259402
0.15	0.0	0.0	0.7170561046778872
0.2	0.0	0.0	0.7170561046778872
0.25	0.0	0.0	0.7183221587154062
0.3	0.0	0.0	0.7183221587154062
0.35	0.0	0.0	0.728075103490696
0.4	0.0	0.0	0.728075103490696
0.45	0.0	0.0	0.7328565362695384
0.5	0.0	0.0	0.7328565362695384
hmm after 10 iterations:
probList_hmm_true size: 37777
fp	fn-15	fn-half-15	threshold
0.0	8.571428571428896E-4	0.003142857142857114	0.19598579356342163
1.0E-4	1.4285714285711126E-4	5.714285714285561E-4	0.3194114134763728
2.0E-4	1.4285714285711126E-4	2.8571428571433355E-4	0.35457535435346704
3.0E-4	1.4285714285711126E-4	2.8571428571433355E-4	0.3683947555844807
4.0E-4	1.4285714285711126E-4	1.4285714285711126E-4	0.3770229271555065
5.0E-4	1.4285714285711126E-4	1.4285714285711126E-4	0.38327100226015753
6.0E-4	1.4285714285711126E-4	1.4285714285711126E-4	0.38809536721994753
7.0E-4	0.0	1.4285714285711126E-4	0.3937938395336117
8.0E-4	0.0	1.4285714285711126E-4	0.3968884346315788
9.0E-4	0.0	1.4285714285711126E-4	0.4051984953317616
0.001	0.0	1.4285714285711126E-4	0.4051984953317616
0.002	0.0	1.4285714285711126E-4	0.4199044095833158
0.003	0.0	1.4285714285711126E-4	0.4309567088294857
0.004	0.0	1.4285714285711126E-4	0.4465689324110448
0.005	0.0	0.0	0.4604749339203875
0.006	0.0	0.0	0.4687759297091855
0.007	0.0	0.0	0.4745917221597919
0.008	0.0	0.0	0.482137766353657
0.009	0.0	0.0	0.4860568332360967
0.01	0.0	0.0	0.49035482194365926
0.02	0.0	0.0	0.5506870966814001
0.03	0.0	0.0	0.6165378725556016
0.04	0.0	0.0	0.6393211157196993
0.05	0.0	0.0	0.6558520674413251
0.06	0.0	0.0	0.7162396817071324
0.07	0.0	0.0	0.7162396817071324
0.08	0.0	0.0	0.7162396817071324
0.09	0.0	0.0	0.7162396817071324
0.1	0.0	0.0	0.7162396817071324
0.15	0.0	0.0	0.7162396817071324
0.2	0.0	0.0	0.7178901878925074
0.25	0.0	0.0	0.7178901878925074
0.3	0.0	0.0	0.7178901878925074
0.35	0.0	0.0	0.7500477920797872
0.4	0.0	0.0	0.7500477920797872
0.45	0.0	0.0	0.7500477920797872
0.5	0.0	0.0	0.7559843526617427
hmm after 15 iterations:
probList_hmm_true size: 16193
fp	fn-15	fn-half-15	threshold
0.0	3.333333333332966E-4	0.003666666666666707	0.1191553135525152
1.0E-4	0.0	0.0010000000000000009	0.2711917265739153
2.0E-4	0.0	3.333333333332966E-4	0.35521433338861264
3.0E-4	0.0	3.333333333332966E-4	0.35579118495944334
4.0E-4	0.0	3.333333333332966E-4	0.40618934399582335
5.0E-4	0.0	3.333333333332966E-4	0.4148367383847045
6.0E-4	0.0	3.333333333332966E-4	0.41579053702445096
7.0E-4	0.0	3.333333333332966E-4	0.42233345331731204
8.0E-4	0.0	3.333333333332966E-4	0.4240113888084969
9.0E-4	0.0	3.333333333332966E-4	0.4240113888084969
0.001	0.0	3.333333333332966E-4	0.4240113888084969
0.002	0.0	0.0	0.4442383364669124
0.003	0.0	0.0	0.44954037974358385
0.004	0.0	0.0	0.4682159777766585
0.005	0.0	0.0	0.4793985404998401
0.006	0.0	0.0	0.49524061666076197
0.007	0.0	0.0	0.5054166938212346
0.008	0.0	0.0	0.5076178265320531
0.009	0.0	0.0	0.5170758949531054
0.01	0.0	0.0	0.5187332221342603
0.02	0.0	0.0	0.5768512145403053
0.03	0.0	0.0	0.6157852256890971
0.04	0.0	0.0	0.6420644750420902
0.05	0.0	0.0	0.6494067046718183
0.06	0.0	0.0	0.7190577423538712
0.07	0.0	0.0	0.7190577423538712
0.08	0.0	0.0	0.7190577423538712
0.09	0.0	0.0	0.7190577423538712
0.1	0.0	0.0	0.7190577423538712
0.15	0.0	0.0	0.7190577423538712
0.2	0.0	0.0	0.7190577423538712
0.25	0.0	0.0	0.7190577423538712
0.3	0.0	0.0	0.7190577423538712
0.35	0.0	0.0	0.7190577423538712
0.4	0.0	0.0	0.7527083924682035
0.45	0.0	0.0	0.7527083924682035
0.5	0.0	0.0	0.7527083924682035
