rand_hmm after learning:
probList_rand_true size: 53965
fp	fn-15	fn-half-15	threshold
0.0	0.01849999999999996	0.04059999999999997	0.08803156795579235
1.0E-4	0.009099999999999997	0.023900000000000032	0.16388237722998478
2.0E-4	0.006900000000000017	0.01880000000000004	0.1914943861692136
3.0E-4	0.005800000000000027	0.017000000000000015	0.20290122415204712
4.0E-4	0.0048000000000000265	0.015000000000000013	0.2120106911713421
5.0E-4	0.0032999999999999696	0.012900000000000023	0.2270937465483751
6.0E-4	0.0023999999999999577	0.010600000000000054	0.2395251998042289
7.0E-4	0.0016000000000000458	0.008099999999999996	0.2612642428437587
8.0E-4	0.0016000000000000458	0.007900000000000018	0.26291143985546384
9.0E-4	0.0012999999999999678	0.007499999999999951	0.26936986295452486
0.001	0.0010000000000000009	0.006299999999999972	0.2795072574442057
0.002	4.999999999999449E-4	0.0027000000000000357	0.32958937373147834
0.003	1.9999999999997797E-4	0.0020999999999999908	0.3534045133114212
0.004	9.999999999998899E-5	7.000000000000339E-4	0.38639024654255194
0.005	9.999999999998899E-5	7.000000000000339E-4	0.391562868415862
0.006	9.999999999998899E-5	6.000000000000449E-4	0.40119635752164945
0.007	9.999999999998899E-5	6.000000000000449E-4	0.40968627908541455
0.008	9.999999999998899E-5	6.000000000000449E-4	0.4184470403294452
0.009	0.0	3.9999999999995595E-4	0.43288041078797135
0.01	0.0	3.9999999999995595E-4	0.4454310893896795
0.02	0.0	9.999999999998899E-5	0.521075883374454
0.03	0.0	0.0	0.6223995637317199
0.04	0.0	0.0	0.6467508995602471
0.05	0.0	0.0	0.6625972735950794
0.06	0.0	0.0	0.7165948612503394
0.07	0.0	0.0	0.7165948612503394
0.08	0.0	0.0	0.7165948612503394
0.09	0.0	0.0	0.7165948612503394
0.1	0.0	0.0	0.7165948612503394
0.15	0.0	0.0	0.7172026330845425
0.2	0.0	0.0	0.7172026330845425
0.25	0.0	0.0	0.728329280664754
0.3	0.0	0.0	0.728329280664754
0.35	0.0	0.0	0.7544648087453139
0.4	0.0	0.0	0.7544648087453139
0.45	0.0	0.0	0.768597438553577
0.5	0.0	0.0	0.768597438553577
rand_hmm after 5 ierations:
probList_rand_true size: 53965
fp	fn-15	fn-half-15	threshold
0.0	0.9975	0.9979	0.029426911581495584
1.0E-4	0.9774	0.988	0.040380559721657695
2.0E-4	0.9609	0.9761	0.04525501107280549
3.0E-4	0.9468	0.9693	0.04821557126907713
4.0E-4	0.9375	0.9624	0.050116718618984125
5.0E-4	0.9216	0.9517	0.05319257792823952
6.0E-4	0.9053	0.9414	0.05571055572666167
7.0E-4	0.8797	0.9215	0.05966835016142754
8.0E-4	0.8512	0.9034	0.0634480989359889
9.0E-4	0.8249	0.8859	0.0669156290612155
0.001	0.7932	0.8659	0.07022801246103597
0.002	0.31220000000000003	0.499	0.12012674265606998
0.003	0.2249	0.3981	0.1317745895615002
0.004	0.1654	0.3235	0.1414433823384772
0.005	0.09919999999999995	0.2259	0.15527587131831003
0.006	0.08830000000000005	0.20899999999999996	0.15840299087439733
0.007	0.062000000000000055	0.16279999999999994	0.16726833097789776
0.008	0.043300000000000005	0.124	0.17577792874921377
0.009	0.03169999999999995	0.0938	0.18478484851524288
0.01	0.023800000000000043	0.07699999999999996	0.19035998890794853
0.02	9.000000000000119E-4	0.0040000000000000036	0.2655604240009066
0.03	0.0	9.999999999998899E-5	0.32831659048253947
0.04	0.0	0.0	0.34177294067771236
0.05	0.0	0.0	0.34177294067771236
0.06	0.0	0.0	0.34177294067771236
0.07	0.0	0.0	0.34177294067771236
0.08	0.0	0.0	0.34177294067771236
0.09	0.0	0.0	0.34177294067771236
0.1	0.0	0.0	0.34177294067771236
0.15	0.0	0.0	0.35598402631017123
0.2	0.0	0.0	0.35598402631017123
0.25	0.0	0.0	0.35932863554979705
0.3	0.0	0.0	0.35932863554979705
0.35	0.0	0.0	0.3931751476236124
0.4	0.0	0.0	0.3931751476236124
0.45	0.0	0.0	0.40203582708988544
0.5	0.0	0.0	0.40203582708988544
rand_hmm after 10 iterations:
probList_rand_true size: 53965
fp	fn-15	fn-half-15	threshold
0.0	0.402	0.573	0.07660120127436974
1.0E-4	0.2329	0.39390000000000003	0.11134581825414662
2.0E-4	0.21799999999999997	0.3778	0.11524088704058622
3.0E-4	0.1865	0.3386	0.12409259787039642
4.0E-4	0.14270000000000005	0.28390000000000004	0.13739540255043914
5.0E-4	0.132	0.26759999999999995	0.14174822112237367
6.0E-4	0.10250000000000004	0.22130000000000005	0.15453200719611868
7.0E-4	0.09019999999999995	0.20089999999999997	0.16027636431464054
8.0E-4	0.07789999999999997	0.18400000000000005	0.16643795882615078
9.0E-4	0.06279999999999997	0.15890000000000004	0.17617506017954487
0.001	0.047599999999999976	0.12819999999999998	0.18846028838964257
0.002	0.006000000000000005	0.026599999999999957	0.2612376470271001
0.003	0.0028000000000000247	0.015100000000000002	0.28546282368264336
0.004	0.0013999999999999568	0.00770000000000004	0.30891781734090384
0.005	7.000000000000339E-4	0.0034999999999999476	0.3277875035650445
0.006	2.9999999999996696E-4	0.0018000000000000238	0.34402332295376115
0.007	2.9999999999996696E-4	0.0014999999999999458	0.3560804200254111
0.008	2.9999999999996696E-4	0.0013999999999999568	0.36320682067852583
0.009	2.9999999999996696E-4	7.000000000000339E-4	0.3751216193848326
0.01	2.9999999999996696E-4	7.000000000000339E-4	0.3819107054192078
0.02	0.0	1.9999999999997797E-4	0.44346994960647557
0.03	0.0	0.0	0.5706344795812895
0.04	0.0	0.0	0.5707084224014322
0.05	0.0	0.0	0.5707084224014322
0.06	0.0	0.0	0.5707084224014322
0.07	0.0	0.0	0.5707084224014322
0.08	0.0	0.0	0.5707084224014322
0.09	0.0	0.0	0.5707084224014322
0.1	0.0	0.0	0.5707084224014322
0.15	0.0	0.0	0.6421667440335356
0.2	0.0	0.0	0.6421667440335356
0.25	0.0	0.0	0.6467199828415036
0.3	0.0	0.0	0.6467199828415036
0.35	0.0	0.0	0.655495487339392
0.4	0.0	0.0	0.655495487339392
0.45	0.0	0.0	0.6613206724183766
0.5	0.0	0.0	0.6613206724183766
rand_hmm after 15 iterations:
probList_rand_true size: 53965
fp	fn-15	fn-half-15	threshold
0.0	0.07440000000000002	0.1523	0.0934158892743838
1.0E-4	0.03259999999999996	0.0786	0.14623919638613353
2.0E-4	0.02429999999999999	0.06279999999999997	0.1631413669480111
3.0E-4	0.02059999999999995	0.05569999999999997	0.17268042216657206
4.0E-4	0.017800000000000038	0.04720000000000002	0.1829850093214928
5.0E-4	0.016199999999999992	0.044300000000000006	0.18730016897401322
6.0E-4	0.011499999999999955	0.0353	0.20235120562819173
7.0E-4	0.009700000000000042	0.03069999999999995	0.21324296887613664
8.0E-4	0.00880000000000003	0.028800000000000048	0.217113458383663
9.0E-4	0.007499999999999951	0.025599999999999956	0.22421148584679343
0.001	0.006199999999999983	0.022499999999999964	0.23099529206371877
0.002	0.0010999999999999899	0.006199999999999983	0.29727308637130284
0.003	3.9999999999995595E-4	0.0033999999999999586	0.32197445764929356
0.004	2.9999999999996696E-4	0.0018000000000000238	0.34662406376159327
0.005	9.999999999998899E-5	9.000000000000119E-4	0.365484647717285
0.006	9.999999999998899E-5	7.000000000000339E-4	0.3798386195597408
0.007	9.999999999998899E-5	6.000000000000449E-4	0.3901733204529436
0.008	9.999999999998899E-5	6.000000000000449E-4	0.3965059074813211
0.009	9.999999999998899E-5	6.000000000000449E-4	0.4011117556637073
0.01	0.0	4.999999999999449E-4	0.40334636876777424
0.02	0.0	1.9999999999997797E-4	0.48146232080371976
0.03	0.0	0.0	0.614717859565599
0.04	0.0	0.0	0.617263447453651
0.05	0.0	0.0	0.6310216184371369
0.06	0.0	0.0	0.6837754565791961
0.07	0.0	0.0	0.6837754565791961
0.08	0.0	0.0	0.6837754565791961
0.09	0.0	0.0	0.6837754565791961
0.1	0.0	0.0	0.6837754565791961
0.15	0.0	0.0	0.6908334526618756
0.2	0.0	0.0	0.6908334526618756
0.25	0.0	0.0	0.7025512112356201
0.3	0.0	0.0	0.7025512112356201
0.35	0.0	0.0	0.7027388281939698
0.4	0.0	0.0	0.7027388281939698
0.45	0.0	0.0	0.7077525330215388
0.5	0.0	0.0	0.7077525330215388
