rand_hmm after learning:
probList_rand_true size: 3504
fp	fn-15	fn-half-15	threshold
0.0	1.0	1.0	0.0
1.0E-4	0.0011999999999999789	0.0032999999999999696	0.11751572254183035
2.0E-4	0.0011999999999999789	0.0032999999999999696	0.11751572254183035
3.0E-4	0.0010000000000000009	0.0022999999999999687	0.15948641160801974
4.0E-4	0.0010000000000000009	0.0022999999999999687	0.15948641160801974
5.0E-4	0.0010000000000000009	0.0022999999999999687	0.15948641160801974
6.0E-4	9.000000000000119E-4	0.0022999999999999687	0.16079799310527554
7.0E-4	9.000000000000119E-4	0.0022999999999999687	0.16079799310527554
8.0E-4	9.000000000000119E-4	0.0022999999999999687	0.16079799310527554
9.0E-4	9.000000000000119E-4	0.0022999999999999687	0.1619148492432656
0.001	9.000000000000119E-4	0.0022999999999999687	0.1619148492432656
0.002	8.000000000000229E-4	0.0020999999999999908	0.17242443313599345
0.003	7.000000000000339E-4	0.0019000000000000128	0.17741768447264403
0.004	4.999999999999449E-4	0.0017000000000000348	0.18443552649804018
0.005	4.999999999999449E-4	0.0017000000000000348	0.18699083309348682
0.006	4.999999999999449E-4	0.0017000000000000348	0.18878054073853773
0.007	3.9999999999995595E-4	0.0016000000000000458	0.1994145813228931
0.008	3.9999999999995595E-4	0.0016000000000000458	0.20433557714953232
0.009	3.9999999999995595E-4	0.0016000000000000458	0.20563950804754655
0.01	3.9999999999995595E-4	0.0016000000000000458	0.2077364546358296
0.02	3.9999999999995595E-4	0.0010999999999999899	0.22775805550782174
0.03	3.9999999999995595E-4	9.000000000000119E-4	0.2435178358662106
0.04	3.9999999999995595E-4	8.000000000000229E-4	0.25187759965759093
0.05	3.9999999999995595E-4	8.000000000000229E-4	0.25919730675678904
0.06	3.9999999999995595E-4	8.000000000000229E-4	0.26686458827996956
0.07	3.9999999999995595E-4	7.000000000000339E-4	0.2742193200990476
0.08	3.9999999999995595E-4	6.000000000000449E-4	0.2771303758740902
0.09	3.9999999999995595E-4	4.999999999999449E-4	0.28292914292125243
0.1	3.9999999999995595E-4	4.999999999999449E-4	0.2840154458465739
0.15	2.9999999999996696E-4	4.999999999999449E-4	0.2967314188165548
0.2	2.9999999999996696E-4	3.9999999999995595E-4	0.3108564924544994
0.25	2.9999999999996696E-4	2.9999999999996696E-4	0.32282530240069945
0.3	1.9999999999997797E-4	1.9999999999997797E-4	0.33610027011572047
0.35	9.999999999998899E-5	1.9999999999997797E-4	0.345741104635019
0.4	9.999999999998899E-5	1.9999999999997797E-4	0.35959153729920323
0.45	0.0	1.9999999999997797E-4	0.37217374774180145
0.5	0.0	9.999999999998899E-5	0.3817870534656605
rand_hmm after 5 ierations:
probList_rand_true size: 3504
fp	fn-15	fn-half-15	threshold
0.0	1.0	1.0	0.0
1.0E-4	0.9548	0.9742	0.030008301941469653
2.0E-4	0.9548	0.9742	0.030008301941469653
3.0E-4	0.9375	0.9642	0.03204759786627409
4.0E-4	0.9375	0.9642	0.03204759786627409
5.0E-4	0.9375	0.9642	0.03204759786627409
6.0E-4	0.9188000000000001	0.9528	0.033585009472420754
7.0E-4	0.9188000000000001	0.9528	0.033585009472420754
8.0E-4	0.9188000000000001	0.9528	0.033585009472420754
9.0E-4	0.9077	0.9468	0.03430933607984827
0.001	0.9077	0.9468	0.03430933607984827
0.002	0.8598	0.9149	0.03731977124150958
0.003	0.827	0.8909	0.039266450498713
0.004	0.8126	0.8792	0.04008862722805718
0.005	0.7852	0.8568	0.04153972319510133
0.006	0.7474000000000001	0.8254	0.04322627049742404
0.007	0.7322	0.8134	0.043867250456912706
0.008	0.7222	0.8047	0.044322602982286546
0.009	0.7079	0.7908	0.044979625044416216
0.01	0.6772	0.7644	0.04623998616935107
0.02	0.4817	0.5831	0.05459989982524363
0.03	0.4586	0.5598000000000001	0.05561821993857286
0.04	0.43899999999999995	0.5387	0.056582226189086884
0.05	0.4181	0.5212	0.057515926380682494
0.06	0.39970000000000006	0.5034000000000001	0.05839056970384484
0.07	0.38449999999999995	0.48729999999999996	0.05914886958538698
0.08	0.36729999999999996	0.4699	0.059942184941591176
0.09	0.34840000000000004	0.45089999999999997	0.06085556412905702
0.1	0.3346	0.43520000000000003	0.06161499013556398
0.15	0.29500000000000004	0.39359999999999995	0.06382436391475542
0.2	0.2569	0.35829999999999995	0.06595138510668999
0.25	0.21220000000000006	0.30979999999999996	0.06891253059652179
0.3	0.18700000000000006	0.28090000000000004	0.07078945926483705
0.35	0.16090000000000004	0.24570000000000003	0.07319823103887536
0.4	0.1279	0.20599999999999996	0.07636784169942379
