hmm after training:
probList_hmm_true size: 31084
fp	fn-15	fn-half-15	threshold
0.0	0.37250000000000005	0.5603	3.169895578004693E-14
1.0E-4	0.0	8.000000000000229E-4	0.06766993226706718
2.0E-4	0.0	8.000000000000229E-4	0.07384740555466712
3.0E-4	0.0	8.000000000000229E-4	0.07881408902500427
4.0E-4	0.0	8.000000000000229E-4	0.07928561747728596
5.0E-4	0.0	7.000000000000339E-4	0.07986551797805705
6.0E-4	0.0	7.000000000000339E-4	0.08617262187952848
7.0E-4	0.0	7.000000000000339E-4	0.09215289932862909
8.0E-4	0.0	7.000000000000339E-4	0.09306635046546578
9.0E-4	0.0	7.000000000000339E-4	0.0947327327866637
0.001	0.0	7.000000000000339E-4	0.09589330674336904
0.002	0.0	2.9999999999996696E-4	0.11842145345126627
0.003	0.0	2.9999999999996696E-4	0.128535033604563
0.004	0.0	2.9999999999996696E-4	0.1333327899030308
0.005	0.0	2.9999999999996696E-4	0.13954014864829822
0.006	0.0	2.9999999999996696E-4	0.14423640738308474
0.007	0.0	2.9999999999996696E-4	0.14820153441146044
0.008	0.0	2.9999999999996696E-4	0.1507082813688839
0.009	0.0	2.9999999999996696E-4	0.15433069020054344
0.01	0.0	2.9999999999996696E-4	0.15776601169406354
0.02	0.0	9.999999999998899E-5	0.17626814564428175
0.03	0.0	9.999999999998899E-5	0.19146688589493643
0.04	0.0	0.0	0.2032219620131223
0.05	0.0	0.0	0.20982564480619426
0.06	0.0	0.0	0.21865150512667503
0.07	0.0	0.0	0.22479617087800927
0.08	0.0	0.0	0.2305382268321427
0.09	0.0	0.0	0.23600759567342275
0.1	0.0	0.0	0.24090035886918112
0.15	0.0	0.0	0.2632513925480101
0.2	0.0	0.0	0.28303883954096726
0.25	0.0	0.0	0.3008430087767124
0.3	0.0	0.0	0.31685160806536805
0.35	0.0	0.0	0.34048822826012015
0.4	0.0	0.0	0.36600583685018234
0.45	0.0	0.0	0.38048477917299445
0.5	0.0	0.0	0.39435177791307413
hmm after 5 iterations:
probList_hmm_true size: 31084
fp	fn-15	fn-half-15	threshold
0.0	0.10619999999999996	0.26149999999999995	0.04472933244457372
1.0E-4	0.06510000000000005	0.18089999999999995	0.05589503723526545
2.0E-4	0.051100000000000034	0.15149999999999997	0.060833276423274386
3.0E-4	0.040100000000000025	0.12360000000000004	0.06666172085362294
4.0E-4	0.03600000000000003	0.1149	0.0688451151305863
5.0E-4	0.02980000000000005	0.10389999999999999	0.07223222418892344
6.0E-4	0.028900000000000037	0.10219999999999996	0.07288281073465151
7.0E-4	0.02749999999999997	0.09789999999999999	0.07434292047801858
8.0E-4	0.0262	0.09409999999999996	0.0755885754610368
9.0E-4	0.025900000000000034	0.09309999999999996	0.07578400696080953
0.001	0.024900000000000033	0.0907	0.07678516464665305
0.002	0.019199999999999995	0.07609999999999995	0.08293593731137515
0.003	0.015499999999999958	0.06659999999999999	0.08734978764519354
0.004	0.012800000000000034	0.05910000000000004	0.0910166876076592
0.005	0.010299999999999976	0.050799999999999956	0.09598054298964392
0.006	0.008399999999999963	0.045499999999999985	0.09960242378364388
0.007	0.006800000000000028	0.04159999999999997	0.10336905545395236
0.008	0.006299999999999972	0.03749999999999998	0.10726710737465003
0.009	0.005499999999999949	0.03400000000000003	0.10983594711015048
0.01	0.0049000000000000155	0.03049999999999997	0.11285516806408268
0.02	0.0033999999999999586	0.020100000000000007	0.12398362832079392
0.03	0.0018000000000000238	0.015700000000000047	0.13236318481291318
0.04	0.0016000000000000458	0.012599999999999945	0.13805884182651246
0.05	0.0011999999999999789	0.009000000000000008	0.1467103315890763
0.06	9.000000000000119E-4	0.007099999999999995	0.15162060824706658
0.07	9.000000000000119E-4	0.006000000000000005	0.1562793329999862
0.08	8.000000000000229E-4	0.00539999999999996	0.1596982076641618
