rand_hmm after learning:
probList_rand_true size: 31084
fp	fn-15	fn-half-15	threshold
0.0	0.027800000000000047	0.06140000000000001	0.002311538429526133
1.0E-4	0.006399999999999961	0.016900000000000026	0.04524715636880425
2.0E-4	0.005900000000000016	0.01649999999999996	0.047683469778949106
3.0E-4	0.005499999999999949	0.015599999999999947	0.05048094933634237
4.0E-4	0.00539999999999996	0.014399999999999968	0.05312581803850427
5.0E-4	0.005299999999999971	0.01419999999999999	0.053774005971476725
6.0E-4	0.005299999999999971	0.013599999999999945	0.05585553281527999
7.0E-4	0.005299999999999971	0.013599999999999945	0.05585553281527999
8.0E-4	0.005299999999999971	0.013599999999999945	0.05585553281527999
9.0E-4	0.005099999999999993	0.013399999999999967	0.05657710874492261
0.001	0.0050000000000000044	0.01319999999999999	0.057691618570993974
0.002	0.0040999999999999925	0.012199999999999989	0.06327861915252707
0.003	0.0040999999999999925	0.011600000000000055	0.0653503350092148
0.004	0.0039000000000000146	0.011499999999999955	0.06736822103384643
0.005	0.0038000000000000256	0.010600000000000054	0.07163639088502465
0.006	0.0036000000000000476	0.010499999999999954	0.0729867577544314
0.007	0.0033999999999999586	0.010499999999999954	0.07502263230412606
0.008	0.0032999999999999696	0.010499999999999954	0.07529930740826392
0.009	0.0031999999999999806	0.010299999999999976	0.07724162711156687
0.01	0.0030000000000000027	0.010000000000000009	0.07934187986817151
0.02	0.0022999999999999687	0.008700000000000041	0.09117606995007393
0.03	0.0018000000000000238	0.007399999999999962	0.1029231321892143
0.04	0.0013999999999999568	0.00649999999999995	0.11118266784326511
0.05	6.000000000000449E-4	0.005199999999999982	0.12464041357882284
0.06	3.9999999999995595E-4	0.0040000000000000036	0.13605623537382044
0.07	3.9999999999995595E-4	0.0033999999999999586	0.144656994543975
0.08	2.9999999999996696E-4	0.0030999999999999917	0.15296354135944487
0.09	1.9999999999997797E-4	0.0022999999999999687	0.1596094798221419
0.1	9.999999999998899E-5	0.0020000000000000018	0.16549902175128106
0.15	9.999999999998899E-5	9.000000000000119E-4	0.19577808964987037
0.2	0.0	7.000000000000339E-4	0.22062905705243238
0.25	0.0	2.9999999999996696E-4	0.2456348614964196
0.3	0.0	2.9999999999996696E-4	0.2730312964011904
0.35	0.0	9.999999999998899E-5	0.2959972355454862
0.4	0.0	0.0	0.3191164935908879
0.45	0.0	0.0	0.33977111327409076
0.5	0.0	0.0	0.363278638825428
rand_hmm after 5 ierations:
probList_rand_true size: 31084
fp	fn-15	fn-half-15	threshold
0.0	0.984	0.9935	0.007464798234066414
1.0E-4	0.9778	0.9896	0.008197619259218324
2.0E-4	0.9582	0.974	0.009959416054048204
3.0E-4	0.9557	0.9716	0.010193805645648072
4.0E-4	0.9533	0.9692	0.010409022058716279
5.0E-4	0.9521	0.9686	0.010506310620756642
6.0E-4	0.9511000000000001	0.9676	0.01058436375481098
7.0E-4	0.9505	0.9675	0.010623966283206408
8.0E-4	0.9505	0.9675	0.010623966283206408
9.0E-4	0.9486	0.9654	0.010792651002524873
0.001	0.9486	0.9654	0.010792651002524873
0.002	0.9423	0.96	0.011272550485530212
0.003	0.9376	0.9571	0.011588680831481927
0.004	0.9313	0.9527	0.012011626244368119
0.005	0.9292	0.9523	0.012125762993064004
0.006	0.9258	0.95	0.01233797588988569
0.007	0.9225	0.9466	0.01250986849209643
0.008	0.9205	0.945	0.012655586041164351
0.009	0.914	0.9403	0.013014166190350993
0.01	0.9095	0.9383	0.013220796440406211
0.02	0.8681	0.91	0.015458001979419746
0.03	0.8416	0.8923	0.016670297302766778
0.04	0.7983	0.8611	0.018501296403500365
0.05	0.7541	0.8288	0.020392230922661403
0.06	0.6787000000000001	0.7694	0.02346842059639952
0.07	0.6314	0.7293000000000001	0.025453567958378876
0.08	0.5780000000000001	0.6776	0.028034122593546734
0.09	0.5276000000000001	0.6259	0.030899607519587896
0.1	0.4851	0.5813999999999999	0.03358638686451093
0.15	0.3588	0.4689	0.04244823785788451
0.2	0.30879999999999996	0.4282	0.04657032467357
0.25	0.24280000000000002	0.3739	0.05182350732639546
0.3	0.18320000000000003	0.3174	0.05740494676663281
0.35	0.12760000000000005	0.25680000000000003	0.06389173719888437
0.4	0.09730000000000005	0.2168	0.06826346842040475
0.45	0.07869999999999999	0.1856	0.07188266432165322
0.5	0.05559999999999998	0.14990000000000003	0.07686413330634165
rand_hmm after 10 iterations:
probList_rand_true size: 31084
fp	fn-15	fn-half-15	threshold
0.0	0.9201	0.9561	0.017325025737527006
1.0E-4	0.9043	0.9467	0.01856572056594546
2.0E-4	0.8907	0.9372	0.0195105292594354
3.0E-4	0.8663	0.9225	0.020978818264507412
4.0E-4	0.8609	0.9167	0.021414646411274295
5.0E-4	0.8596	0.9154	0.02153219538164403
6.0E-4	0.8557	0.9124	0.021765957999924788
7.0E-4	0.8488	0.9077999999999999	0.022187614046674863
8.0E-4	0.8434	0.9042	0.022514783007702478
9.0E-4	0.8289	0.8912	0.02348581243285814
