hmm after training:
probList_hmm_true size: 8244
fp	fn-15	fn-half-15	threshold
0.0	0.0010000000000000009	0.0020999999999999908	0.17787794049645145
1.0E-4	7.000000000000339E-4	0.0020999999999999908	0.19028503352881268
2.0E-4	4.999999999999449E-4	0.0018000000000000238	0.23401104025728853
3.0E-4	4.999999999999449E-4	0.0016000000000000458	0.24597866563409262
4.0E-4	3.9999999999995595E-4	0.0016000000000000458	0.2539366735318372
5.0E-4	3.9999999999995595E-4	0.0014999999999999458	0.25711098891727
6.0E-4	3.9999999999995595E-4	0.0014999999999999458	0.25711098891727
7.0E-4	3.9999999999995595E-4	0.0014999999999999458	0.25938192294829204
8.0E-4	3.9999999999995595E-4	0.0014999999999999458	0.25953326041062746
9.0E-4	3.9999999999995595E-4	0.0014999999999999458	0.2623782674637349
0.001	2.9999999999996696E-4	0.0013999999999999568	0.27968585885081076
0.002	2.9999999999996696E-4	0.0012999999999999678	0.2930157281871836
0.003	1.9999999999997797E-4	0.0011999999999999789	0.31271299059066615
0.004	1.9999999999997797E-4	0.0010999999999999899	0.31797650421399565
0.005	1.9999999999997797E-4	0.0010999999999999899	0.3237311424453029
0.006	9.999999999998899E-5	0.0010000000000000009	0.3290297824984588
0.007	9.999999999998899E-5	0.0010000000000000009	0.33310728447737525
0.008	9.999999999998899E-5	0.0010000000000000009	0.3360658431803761
0.009	9.999999999998899E-5	9.000000000000119E-4	0.3385069927153408
0.01	9.999999999998899E-5	9.000000000000119E-4	0.34061383412011936
0.02	9.999999999998899E-5	6.000000000000449E-4	0.3698961409534834
0.03	9.999999999998899E-5	3.9999999999995595E-4	0.38305271390080636
0.04	9.999999999998899E-5	3.9999999999995595E-4	0.38993516918434534
0.05	9.999999999998899E-5	2.9999999999996696E-4	0.3960243377238335
0.06	9.999999999998899E-5	2.9999999999996696E-4	0.40021777299246064
0.07	9.999999999998899E-5	2.9999999999996696E-4	0.404807009673506
0.08	9.999999999998899E-5	1.9999999999997797E-4	0.4103167789944156
0.09	9.999999999998899E-5	1.9999999999997797E-4	0.41707120559849586
0.1	9.999999999998899E-5	1.9999999999997797E-4	0.42092859917352404
0.15	9.999999999998899E-5	9.999999999998899E-5	0.440196251521082
0.2	9.999999999998899E-5	0.0	0.45353802877103366
0.25	0.0	0.0	0.46701819329535377
0.3	0.0	0.0	0.4779273945418661
0.35	0.0	0.0	0.4895679456524644
0.4	0.0	0.0	0.49897089336369693
0.45	0.0	0.0	0.50621390535598
0.5	0.0	0.0	0.5166668054152613
hmm after 5 iterations:
probList_hmm_true size: 8244
fp	fn-15	fn-half-15	threshold
0.0	0.12419999999999998	0.24480000000000002	0.10443265986957724
1.0E-4	0.11599999999999999	0.23060000000000003	0.10776048282565771
2.0E-4	0.1119	0.2257	0.10909794077508621
3.0E-4	0.06569999999999998	0.15159999999999996	0.13712333005229252
4.0E-4	0.06469999999999998	0.1503	0.1377286917298719
5.0E-4	0.057699999999999974	0.1402	0.14306644095185742
6.0E-4	0.057699999999999974	0.1402	0.14306644095185742
7.0E-4	0.05589999999999995	0.137	0.14438027169144077
8.0E-4	0.04690000000000005	0.11909999999999998	0.15097375824713252
9.0E-4	0.04259999999999997	0.11029999999999995	0.1553986275535242
0.001	0.03920000000000001	0.10299999999999998	0.15886852559865455
0.002	0.023900000000000032	0.06610000000000005	0.18142104585734015
0.003	0.017900000000000027	0.054400000000000004	0.19077165309236588
0.004	0.01629999999999998	0.04910000000000003	0.19516967123200757
0.005	0.01419999999999999	0.04300000000000004	0.20160138654936643
0.006	0.013800000000000034	0.04059999999999997	0.2045585997311149
0.007	0.012900000000000023	0.03920000000000001	0.20662774078021273
0.008	0.011800000000000033	0.03500000000000003	0.21134276002618285
0.009	0.011299999999999977	0.033399999999999985	0.2137920619601215
0.01	0.011099999999999999	0.03259999999999996	0.21546187650876486
0.02	0.007499999999999951	0.023299999999999987	0.23200791587028402
0.03	0.00660000000000005	0.01970000000000005	0.23989940750621755
0.04	0.005700000000000038	0.01770000000000005	0.24543917731601886
0.05	0.0049000000000000155	0.015900000000000025	0.2501968531624311
0.06	0.0049000000000000155	0.015499999999999958	0.25108865390897356
0.07	0.0049000000000000155	0.015100000000000002	0.25243183573909045
0.08	0.0047000000000000375	0.014599999999999946	0.254541912564993
0.09	0.0043999999999999595	0.013700000000000045	0.2566270098542698
0.1	0.0039000000000000146	0.012299999999999978	0.260494418347272
0.15	0.0030000000000000027	0.009299999999999975	0.2718048514893938
0.2	0.0020999999999999908	0.007299999999999973	0.2849232910691496
0.25	0.0012999999999999678	0.005299999999999971	0.29832061077509026
0.3	9.000000000000119E-4	0.0040000000000000036	0.31134155927835483
0.35	8.000000000000229E-4	0.0030000000000000027	0.32107366108534097
0.4	6.000000000000449E-4	0.0026000000000000467	0.3295508536681691
0.45	3.9999999999995595E-4	0.0021999999999999797	0.34050164257908627
0.5	2.9999999999996696E-4	0.0010999999999999899	0.3543709652613477
hmm after 10 iterations:
probList_hmm_true size: 8244
fp	fn-15	fn-half-15	threshold
0.0	0.01639999999999997	0.0484	0.11033244231622799
1.0E-4	0.014900000000000024	0.04390000000000005	0.11791832169443142
2.0E-4	0.012199999999999989	0.0373	0.128838287716253
3.0E-4	0.008000000000000007	0.024599999999999955	0.16163054489557865
4.0E-4	0.007800000000000029	0.02429999999999999	0.16271789372493534
5.0E-4	0.007000000000000006	0.021199999999999997	0.17165584044010523
6.0E-4	0.007000000000000006	0.021199999999999997	0.17165584044010523
7.0E-4	0.006099999999999994	0.018199999999999994	0.18608171904973017
8.0E-4	0.0050000000000000044	0.01529999999999998	0.19973487202022397
9.0E-4	0.0040000000000000036	0.014100000000000001	0.2094191192170891
0.001	0.0038000000000000256	0.012800000000000034	0.2152473802175462
0.002	0.0028000000000000247	0.010499999999999954	0.2346032401594244
0.003	0.0024999999999999467	0.009199999999999986	0.24503812859406132
0.004	0.0020000000000000018	0.007399999999999962	0.2530664164695975
0.005	0.0014999999999999458	0.00649999999999995	0.26500302086347693
0.006	0.0014999999999999458	0.005900000000000016	0.26841770626867073
0.007	0.0013999999999999568	0.00539999999999996	0.2742399176717416
0.008	0.0013999999999999568	0.005199999999999982	0.27569381044179814
0.009	0.0011999999999999789	0.0050000000000000044	0.2815065698306636
0.01	0.0011999999999999789	0.0050000000000000044	0.2832813598644648
0.02	8.000000000000229E-4	0.0037000000000000366	0.3115487763014331
0.03	7.000000000000339E-4	0.0030999999999999917	0.32190476585635
