rand_hmm after learning:
probList_rand_true size: 8244
fp	fn-15	fn-half-15	threshold
0.0	0.008000000000000007	0.02639999999999998	0.10187321244807841
1.0E-4	0.008000000000000007	0.02639999999999998	0.10191392521136759
2.0E-4	0.007800000000000029	0.025800000000000045	0.10377294572807741
3.0E-4	0.007600000000000051	0.024499999999999966	0.1065302305640021
4.0E-4	0.007600000000000051	0.024499999999999966	0.10658886593981892
5.0E-4	0.007099999999999995	0.023900000000000032	0.10938663615335421
6.0E-4	0.007099999999999995	0.023900000000000032	0.10938663615335421
7.0E-4	0.005800000000000027	0.019199999999999995	0.13111354634672537
8.0E-4	0.00539999999999996	0.018399999999999972	0.13762045986509408
9.0E-4	0.005199999999999982	0.017800000000000038	0.13922543192433715
0.001	0.005099999999999993	0.01759999999999995	0.13987926497765762
0.002	0.0042999999999999705	0.014499999999999957	0.1642579489584203
0.003	0.0024999999999999467	0.009600000000000053	0.2042361763944055
0.004	0.0020999999999999908	0.009299999999999975	0.21379595621963243
0.005	0.0016000000000000458	0.006900000000000017	0.2341122000644122
0.006	0.0011999999999999789	0.005499999999999949	0.2469021232612029
0.007	0.0011999999999999789	0.005499999999999949	0.2469021232612029
0.008	0.0011999999999999789	0.005299999999999971	0.24825188907495055
0.009	9.000000000000119E-4	0.0038000000000000256	0.2577215596647301
0.01	9.000000000000119E-4	0.0037000000000000366	0.2605584065533454
0.02	4.999999999999449E-4	0.0024999999999999467	0.2887742852767906
0.03	2.9999999999996696E-4	0.0013999999999999568	0.3092906278871201
0.04	2.9999999999996696E-4	0.0010999999999999899	0.3175413674338973
0.05	2.9999999999996696E-4	9.000000000000119E-4	0.32603369848631397
0.06	2.9999999999996696E-4	9.000000000000119E-4	0.33234842855912927
0.07	1.9999999999997797E-4	6.000000000000449E-4	0.34178625452667194
0.08	1.9999999999997797E-4	3.9999999999995595E-4	0.3474606866469468
0.09	1.9999999999997797E-4	3.9999999999995595E-4	0.35483231137318155
0.1	9.999999999998899E-5	3.9999999999995595E-4	0.36314471091853473
0.15	0.0	3.9999999999995595E-4	0.39341127533530396
0.2	0.0	3.9999999999995595E-4	0.41864644455837596
0.25	0.0	2.9999999999996696E-4	0.43675143662934357
0.3	0.0	2.9999999999996696E-4	0.451311357287666
0.35	0.0	1.9999999999997797E-4	0.46383513038626734
0.4	0.0	9.999999999998899E-5	0.4773756907061545
0.45	0.0	9.999999999998899E-5	0.4896387823084307
0.5	0.0	9.999999999998899E-5	0.503168448663372
rand_hmm after 5 ierations:
probList_rand_true size: 8244
fp	fn-15	fn-half-15	threshold
0.0	0.9946	0.997	0.02106494332695559
1.0E-4	0.9746	0.983	0.03347639588459925
2.0E-4	0.972	0.9816	0.03420198230888686
3.0E-4	0.9618	0.9779	0.03699327382882474
4.0E-4	0.9155	0.96	0.0449625754359681
5.0E-4	0.9111	0.9579	0.04562841970200852
6.0E-4	0.9111	0.9579	0.04562841970200852
7.0E-4	0.8844	0.9444	0.048832474907136096
8.0E-4	0.8444	0.9217	0.05288431373811733
9.0E-4	0.8319	0.9139	0.05401920993860744
0.001	0.8319	0.9139	0.05401920993860744
0.002	0.8319	0.9139	0.05401920993860744
0.003	0.8289	0.9119	0.0543352133410935
0.004	0.8289	0.9119	0.0543352133410935
0.005	0.7927	0.8913	0.05707726379182976
0.006	0.7866	0.8885	0.05748685417990067
0.007	0.7866	0.8885	0.05748685417990067
0.008	0.7545	0.8671	0.05993527573543511
0.009	0.7545	0.8671	0.05993527573543511
0.01	0.7512	0.8651	0.06016833845473554
0.02	0.6243000000000001	0.7758	0.06859290751532308
0.03	0.5152	0.6809000000000001	0.07616069788518379
0.04	0.43779999999999997	0.6	0.08188379130865928
0.05	0.38460000000000005	0.5386	0.08647853649615986
0.06	0.32789999999999997	0.48240000000000005	0.09104508194897817
0.07	0.2945	0.4413	0.09440402056675953
0.08	0.2633	0.39959999999999996	0.09792888994289654
0.09	0.24550000000000005	0.3801	0.09970411393029435
0.1	0.21399999999999997	0.34519999999999995	0.10343028201956694
0.15	0.1361	0.23719999999999997	0.1155885615196529
0.2	0.09250000000000003	0.17010000000000003	0.12533048680039258
0.25	0.06489999999999996	0.12849999999999995	0.13319942293858045
0.3	0.04700000000000004	0.09489999999999998	0.141172300060433
0.35	0.03859999999999997	0.07779999999999998	0.14650387542345938
0.4	0.030299999999999994	0.06030000000000002	0.15289579496886282
0.45	0.023599999999999954	0.04849999999999999	0.15962088466087004
0.5	0.017000000000000015	0.03649999999999998	0.16649099758323518
rand_hmm after 10 iterations:
probList_rand_true size: 8244
fp	fn-15	fn-half-15	threshold
0.0	0.7927	0.922	0.04492600249805012
1.0E-4	0.39970000000000006	0.6495	0.07993213257188118
2.0E-4	0.39880000000000004	0.6487	0.0799808866667869
3.0E-4	0.34019999999999995	0.5892999999999999	0.08682460389798674
4.0E-4	0.3086	0.5567	0.09050492134544863
5.0E-4	0.2834	0.5259	0.09357991874258254
6.0E-4	0.2834	0.5259	0.09357991874258254
7.0E-4	0.22529999999999994	0.4536	0.10213456498350168
8.0E-4	0.21789999999999998	0.4433	0.10346629242581885
9.0E-4	0.21789999999999998	0.4433	0.10346629242581885
0.001	0.21789999999999998	0.4433	0.10346629242581885
0.002	0.21789999999999998	0.4433	0.10346629242581885
0.003	0.19810000000000005	0.41579999999999995	0.10692469471467897
0.004	0.1935	0.41090000000000004	0.10777460383300971
0.005	0.18230000000000002	0.3964	0.11021122996828105
0.006	0.09550000000000003	0.25470000000000004	0.13260594817325475
0.007	0.09179999999999999	0.248	0.13386218036161945
0.008	0.09179999999999999	0.248	0.13386218036161945
0.009	0.05740000000000001	0.1755	0.14952581372395654
0.01	0.055499999999999994	0.1693	0.15109430141146873
0.02	0.014100000000000001	0.06679999999999997	0.19178556425379167
0.03	0.008600000000000052	0.04410000000000003	0.20846280911723652
0.04	0.005800000000000027	0.030399999999999983	0.22216390137913256
0.05	0.0049000000000000155	0.026699999999999946	0.22759428492143585
0.06	0.0040999999999999925	0.023700000000000054	0.23208733844796423
0.07	0.0037000000000000366	0.020100000000000007	0.2367685179574923
0.08	0.0031999999999999806	0.016700000000000048	0.24364043192669912
0.09	0.0027000000000000357	0.01419999999999999	0.2487739170429931
0.1	0.0020000000000000018	0.01090000000000002	0.2559010905961086
0.15	0.0010000000000000009	0.005499999999999949	0.2805195108853485
0.2	6.000000000000449E-4	0.0037000000000000366	0.29563728909208975
0.25	3.9999999999995595E-4	0.0021999999999999797	0.31360604648320706
0.3	1.9999999999997797E-4	0.0017000000000000348	0.33058241986073
0.35	1.9999999999997797E-4	0.0014999999999999458	0.3438340668745261
0.4	1.9999999999997797E-4	0.0013999999999999568	0.35540678984841706
0.45	9.999999999998899E-5	0.0010000000000000009	0.3711771791113959
0.5	0.0	7.000000000000339E-4	0.38494480747410653
rand_hmm after 15 iterations:
probList_rand_true size: 8244
fp	fn-15	fn-half-15	threshold
0.0	0.07779999999999998	0.1965	0.08018482947158664
1.0E-4	0.06840000000000002	0.17900000000000005	0.08524982036647577
2.0E-4	0.06320000000000003	0.1684	0.08918063580033711
3.0E-4	0.03969999999999996	0.12639999999999996	0.10612227105246086
4.0E-4	0.03410000000000002	0.10970000000000002	0.1141772907174636
5.0E-4	0.03180000000000005	0.10299999999999998	0.11714326996289727
6.0E-4	0.03180000000000005	0.10299999999999998	0.11714326996289727
7.0E-4	0.031399999999999983	0.10240000000000005	0.11752841681812377
8.0E-4	0.03059999999999996	0.09930000000000005	0.1187849158396019
9.0E-4	0.02959999999999996	0.09750000000000003	0.11980702914694334
0.001	0.02059999999999995	0.0736	0.13573638671305738
0.002	0.009399999999999964	0.04079999999999995	0.17218221224179697
0.003	0.006099999999999994	0.030399999999999983	0.1883464552950294
0.004	0.005800000000000027	0.028000000000000025	0.19274071558378028
0.005	0.0036000000000000476	0.018299999999999983	0.2123547300690706
0.006	0.0027000000000000357	0.015800000000000036	0.21897674811989873
0.007	0.0024999999999999467	0.015100000000000002	0.22046410328998226
0.008	0.0024999999999999467	0.014800000000000035	0.22173880831649326
0.009	0.0024999999999999467	0.014800000000000035	0.22173880831649326
0.01	0.0024999999999999467	0.01429999999999998	0.2243640867888756
0.02	0.0010999999999999899	0.00880000000000003	0.24848648164029294
0.03	9.000000000000119E-4	0.00649999999999995	0.2639687414846335
0.04	6.000000000000449E-4	0.0049000000000000155	0.2744645777039205
0.05	6.000000000000449E-4	0.0043999999999999595	0.28249999212927757
0.06	4.999999999999449E-4	0.0038000000000000256	0.2925998041044848
0.07	3.9999999999995595E-4	0.0033999999999999586	0.2994922825384636
0.08	3.9999999999995595E-4	0.0028000000000000247	0.30549403381499435
0.09	2.9999999999996696E-4	0.0021999999999999797	0.3132065692730244
0.1	2.9999999999996696E-4	0.0014999999999999458	0.32088124262617257
0.15	9.999999999998899E-5	0.0011999999999999789	0.3460064694355159
0.2	9.999999999998899E-5	8.000000000000229E-4	0.3657323614340165
0.25	0.0	7.000000000000339E-4	0.38539863168242783
0.3	0.0	4.999999999999449E-4	0.4015024136732625
0.35	0.0	3.9999999999995595E-4	0.4170589984126356
0.4	0.0	3.9999999999995595E-4	0.4279234677925895
0.45	0.0	2.9999999999996696E-4	0.43960076372021206
0.5	0.0	1.9999999999997797E-4	0.45506741517120747
