hmm after training:
probList_hmm_true size: 421902
fp	fn-15	fn-half-15	threshold
0.0	0.47430000000000005	0.6348	4.318911975873218E-12
1.0E-4	0.0013999999999999568	0.0049000000000000155	0.05705661617574914
2.0E-4	0.0013999999999999568	0.0049000000000000155	0.05705661617574914
3.0E-4	0.0013999999999999568	0.0048000000000000265	0.058090886213356056
4.0E-4	0.0013999999999999568	0.0048000000000000265	0.058090886213356056
5.0E-4	0.0013999999999999568	0.0047000000000000375	0.05877259012196695
6.0E-4	0.0013999999999999568	0.0047000000000000375	0.05877259012196695
7.0E-4	0.0013999999999999568	0.0047000000000000375	0.05877259012196695
8.0E-4	0.0013999999999999568	0.0047000000000000375	0.058800114782815105
9.0E-4	0.0013999999999999568	0.0047000000000000375	0.058800114782815105
0.001	0.0013999999999999568	0.0047000000000000375	0.059419431538695264
0.002	0.0013999999999999568	0.0044999999999999485	0.06092848978332221
0.003	0.0013999999999999568	0.0043999999999999595	0.06225308402511313
0.004	0.0012999999999999678	0.0043999999999999595	0.06324643468175603
0.005	0.0011999999999999789	0.0041999999999999815	0.06615261774995118
0.006	0.0011999999999999789	0.0040000000000000036	0.06771227249279432
0.007	0.0011999999999999789	0.0040000000000000036	0.06858557905137745
0.008	0.0010999999999999899	0.0037000000000000366	0.06971388670453954
0.009	0.0010999999999999899	0.0037000000000000366	0.07053408716409895
0.01	0.0010999999999999899	0.0036000000000000476	0.0710654312293648
0.02	9.000000000000119E-4	0.0032999999999999696	0.08393964960607356
0.03	7.000000000000339E-4	0.0023999999999999577	0.0980085012011526
0.04	3.9999999999995595E-4	0.0019000000000000128	0.11022718992907551
0.05	1.9999999999997797E-4	0.0014999999999999458	0.11773089165000224
0.06	9.999999999998899E-5	0.0014999999999999458	0.12198416639750588
0.07	9.999999999998899E-5	0.0013999999999999568	0.12652551409832627
0.08	9.999999999998899E-5	0.0013999999999999568	0.12983247556075217
0.09	9.999999999998899E-5	0.0013999999999999568	0.1355218013129405
0.1	9.999999999998899E-5	0.0012999999999999678	0.1394165052812248
0.15	0.0	0.0010000000000000009	0.15842640810174918
0.2	0.0	9.000000000000119E-4	0.1779212282024004
0.25	0.0	6.000000000000449E-4	0.20406710481446103
0.3	0.0	2.9999999999996696E-4	0.23528588362541955
0.35	0.0	9.999999999998899E-5	0.2856397059789554
0.4	0.0	0.0	0.3423882942237302
0.45	0.0	0.0	0.35992984056420035
0.5	0.0	0.0	0.3675917197510998
hmm after 5 iterations:
probList_hmm_true size: 421902
fp	fn-15	fn-half-15	threshold
0.0	0.2208	0.4537	0.044610355595508695
1.0E-4	0.2208	0.4537	0.044610355595508695
2.0E-4	0.2208	0.4537	0.044610355595508695
3.0E-4	0.21350000000000002	0.44430000000000003	0.045377708378559596
4.0E-4	0.21350000000000002	0.44430000000000003	0.045377708378559596
5.0E-4	0.21350000000000002	0.44430000000000003	0.045377708378559596
6.0E-4	0.19289999999999996	0.41400000000000003	0.04812438189169411
7.0E-4	0.19289999999999996	0.41400000000000003	0.04812438189169411
8.0E-4	0.19079999999999997	0.41090000000000004	0.048432377390848574
9.0E-4	0.19079999999999997	0.41090000000000004	0.048432377390848574
0.001	0.18679999999999997	0.4051	0.04897615290821722
0.002	0.17490000000000006	0.38339999999999996	0.05075974785899064
0.003	0.16080000000000005	0.3648	0.052585096126060424
0.004	0.15339999999999998	0.3526	0.05376673366997332
0.005	0.1493	0.34640000000000004	0.0543884197486433
0.006	0.14290000000000003	0.3359	0.055388774802200356
0.007	0.14100000000000001	0.3315	0.05576908057808477
0.008	0.13429999999999997	0.3206	0.05699606630242858
0.009	0.13239999999999996	0.31789999999999996	0.05739293123270352
0.01	0.13060000000000005	0.3133	0.057865174462779806
0.02	0.1068	0.267	0.06276802835059561
0.03	0.09179999999999999	0.2399	0.06653582980218371
0.04	0.0806	0.22019999999999995	0.06960641655844928
0.05	0.06989999999999996	0.19599999999999995	0.07321613235509336
0.06	0.059799999999999964	0.17600000000000005	0.07664449304433985
0.07	0.05279999999999996	0.16200000000000003	0.07944223337334373
0.08	0.04949999999999999	0.15459999999999996	0.08114654974104607
0.09	0.04520000000000002	0.14580000000000004	0.08343708971278439
0.1	0.040200000000000014	0.13260000000000005	0.08635378195435456
0.15	0.019499999999999962	0.07620000000000005	0.10498395655014699
0.2	0.010099999999999998	0.044499999999999984	0.1204432014798484
0.25	0.00539999999999996	0.02410000000000001	0.1377026507419605
0.3	0.0023999999999999577	0.011099999999999999	0.1622381821944047
0.35	4.999999999999449E-4	0.0023999999999999577	0.20947672441735876
0.4	0.0	1.9999999999997797E-4	0.310096385709505
0.45	0.0	9.999999999998899E-5	0.3540782756306725
0.5	0.0	9.999999999998899E-5	0.3603512084380201
hmm after 10 iterations:
probList_hmm_true size: 421902
fp	fn-15	fn-half-15	threshold
0.0	0.3204	0.5470999999999999	0.004861828959407884
1.0E-4	0.016100000000000003	0.053200000000000025	0.05914351951977442
2.0E-4	0.016100000000000003	0.053200000000000025	0.05914351951977442
3.0E-4	0.015900000000000025	0.05279999999999996	0.05955285677585719
4.0E-4	0.015900000000000025	0.05279999999999996	0.05955285677585719
5.0E-4	0.015900000000000025	0.05279999999999996	0.05955285677585719
6.0E-4	0.015900000000000025	0.05249999999999999	0.05994031401189621
7.0E-4	0.015900000000000025	0.05249999999999999	0.05994031401189621
8.0E-4	0.015900000000000025	0.052000000000000046	0.06022064560277886
9.0E-4	0.015900000000000025	0.052000000000000046	0.06022064560277886
0.001	0.015900000000000025	0.052000000000000046	0.06022064560277886
0.002	0.015000000000000013	0.048699999999999966	0.06203238201081816
0.003	0.01419999999999999	0.04690000000000005	0.06342855000097251
0.004	0.013900000000000023	0.045499999999999985	0.06452298339814982
0.005	0.013700000000000045	0.04469999999999996	0.06519123437033232
0.006	0.013299999999999979	0.044399999999999995	0.06562375878982844
0.007	0.012599999999999945	0.04239999999999999	0.06730166648172199
0.008	0.012399999999999967	0.04149999999999998	0.06811219578472208
0.009	0.01200000000000001	0.041000000000000036	0.068568551878889
0.01	0.011800000000000033	0.0393	0.069638801987203
0.02	0.009700000000000042	0.03290000000000004	0.07626737695598558
0.03	0.008000000000000007	0.02749999999999997	0.08401974433194166
0.04	0.006199999999999983	0.02210000000000001	0.0913276492006601
0.05	0.0048000000000000265	0.016199999999999992	0.10052204382868404
0.06	0.0043999999999999595	0.01429999999999998	0.10581761740580845
0.07	0.0039000000000000146	0.012199999999999989	0.11117051118157037
0.08	0.0034999999999999476	0.010399999999999965	0.11584638450567954
0.09	0.0030000000000000027	0.009099999999999997	0.11970784214478536
0.1	0.0022999999999999687	0.008399999999999963	0.12400629040358507
