rand_hmm after learning:
probList_rand_true size: 421902
fp	fn-15	fn-half-15	threshold
0.0	0.09160000000000001	0.1734	0.020836804937840465
1.0E-4	0.07989999999999997	0.15890000000000004	0.02623603410905259
2.0E-4	0.07989999999999997	0.15890000000000004	0.02623603410905259
3.0E-4	0.07540000000000002	0.15259999999999996	0.028596091489753676
4.0E-4	0.07540000000000002	0.15259999999999996	0.028596091489753676
5.0E-4	0.07489999999999997	0.15100000000000002	0.029298450952266818
6.0E-4	0.07489999999999997	0.15100000000000002	0.029298450952266818
7.0E-4	0.07369999999999999	0.15000000000000002	0.02968136386267865
8.0E-4	0.07369999999999999	0.15000000000000002	0.02968136386267865
9.0E-4	0.07140000000000002	0.14800000000000002	0.030428091364471107
0.001	0.07140000000000002	0.14800000000000002	0.030428091364471107
0.002	0.06979999999999997	0.14500000000000002	0.03143000322144278
0.003	0.06640000000000001	0.14229999999999998	0.03273416298854238
0.004	0.06459999999999999	0.14029999999999998	0.033702478570881496
0.005	0.06340000000000001	0.13890000000000002	0.03445986555430302
0.006	0.06159999999999999	0.13739999999999997	0.035146946999849195
0.007	0.06059999999999999	0.1352	0.03579480281088623
0.008	0.06030000000000002	0.13480000000000003	0.0360072315918146
0.009	0.057699999999999974	0.13249999999999995	0.03720544571658686
0.01	0.05630000000000002	0.13070000000000004	0.03795715997867425
0.02	0.04690000000000005	0.11629999999999996	0.04408347649083115
0.03	0.042100000000000026	0.10899999999999999	0.04825815706100328
0.04	0.04059999999999997	0.10599999999999998	0.049611028622368866
0.05	0.03649999999999998	0.09809999999999997	0.05277661694880177
0.06	0.03269999999999995	0.09360000000000002	0.055485643863789035
0.07	0.031100000000000017	0.09019999999999995	0.05713724551526172
0.08	0.02859999999999996	0.08579999999999999	0.059595089700254206
0.09	0.025800000000000045	0.0807	0.06226808017805441
0.1	0.023499999999999965	0.07679999999999998	0.06490960197636228
0.15	0.014800000000000035	0.059599999999999986	0.07882688356150505
0.2	0.009099999999999997	0.04079999999999995	0.09361377839051703
0.25	0.005600000000000049	0.029299999999999993	0.10812715102554057
0.3	0.0033999999999999586	0.018199999999999994	0.12608689399430317
0.35	0.0011999999999999789	0.006800000000000028	0.15628374514128357
0.4	9.999999999998899E-5	0.0012999999999999678	0.21654451369090133
0.45	0.0	1.9999999999997797E-4	0.301960889367933
0.5	0.0	0.0	0.3968217321190811
rand_hmm after 5 ierations:
probList_rand_true size: 421902
fp	fn-15	fn-half-15	threshold
0.0	0.9979	0.9988	0.0061824746373907655
1.0E-4	0.9979	0.9988	0.0061824746373907655
2.0E-4	0.9979	0.9988	0.0061824746373907655
3.0E-4	0.9958	0.998	0.006966834463501329
4.0E-4	0.9958	0.998	0.006966834463501329
5.0E-4	0.9944	0.9967	0.007538188149188711
6.0E-4	0.9944	0.9967	0.007538188149188711
7.0E-4	0.9944	0.9967	0.007538188149188711
8.0E-4	0.9938	0.9965	0.007636096139419553
9.0E-4	0.9938	0.9965	0.007636096139419553
0.001	0.9917	0.9956	0.008060304809158888
0.002	0.9907	0.9953	0.008266733725229411
0.003	0.9899	0.995	0.008425832039187677
0.004	0.9899	0.995	0.008425832039187677
0.005	0.9899	0.995	0.008425832039187677
0.006	0.9899	0.995	0.008426328797660119
0.007	0.9899	0.995	0.008426328797660119
0.008	0.9899	0.995	0.008426328797660119
0.009	0.9867	0.9926	0.00901426296891459
0.01	0.9862	0.9919	0.009150281135086851
0.02	0.9685	0.9817	0.012148835737784082
0.03	0.9667	0.9809	0.012418814920192348
0.04	0.957	0.9735	0.01347754866089704
0.05	0.9541	0.9708	0.013878385235351273
0.06	0.946	0.9656	0.014696466188923434
0.07	0.9429	0.9629	0.015038212141046602
0.08	0.9373	0.9579	0.015697365263451852
0.09	0.9307	0.9531000000000001	0.01647785103839474
0.1	0.9232	0.9488	0.01723384784848081
0.15	0.8867	0.9209	0.02094310053576834
0.2	0.8498	0.8964	0.024195250803681605
0.25	0.8025	0.8657	0.028155253528078718
0.3	0.7226	0.8162	0.03454240177195446
0.35	0.5789	0.7191000000000001	0.045283343720580266
0.4	0.3415	0.5336000000000001	0.06375799248392851
0.45	0.015599999999999947	0.06669999999999998	0.13616336329836065
0.5	0.006000000000000005	0.03390000000000004	0.15481615923070813
rand_hmm after 10 iterations:
probList_rand_true size: 421902
fp	fn-15	fn-half-15	threshold
0.0	0.9938	0.9984	0.011330326544206801
1.0E-4	0.9809	0.9921	0.014628496709969635
2.0E-4	0.9809	0.9921	0.014628496709969635
3.0E-4	0.9727	0.9881	0.01611132960316716
4.0E-4	0.9727	0.9881	0.01611132960316716
5.0E-4	0.97	0.9874	0.016366329839472456
6.0E-4	0.97	0.9874	0.016366329839472456
7.0E-4	0.97	0.9874	0.016366329839472456
8.0E-4	0.9697	0.9872	0.016408463380592125
9.0E-4	0.9697	0.9872	0.016408463380592125
0.001	0.9688	0.9864	0.016548835808583816
0.002	0.9561	0.9807	0.018141779483338883
0.003	0.9486	0.9763	0.019002239164724072
0.004	0.9402	0.9716	0.019994098747516034
0.005	0.9385	0.9707	0.02017805603798367
0.006	0.9323	0.967	0.02085130789608583
0.007	0.9286	0.9644	0.021237576614974392
0.008	0.9237	0.9605	0.021769558985911864
0.009	0.918	0.9579	0.02233544435780054
0.01	0.9142	0.9561	0.02267214214952675
0.02	0.8938	0.9434	0.02463517606877603
0.03	0.8739	0.9295	0.02650578107273243
0.04	0.8479	0.9117999999999999	0.02877570157009795
0.05	0.8214	0.8954	0.031005985683428657
0.06	0.7937	0.8813	0.032945411913081174
0.07	0.7856	0.8738	0.03374088100528458
0.08	0.7682	0.8642	0.03502324428054237
0.09	0.7547	0.8553	0.03594984179350469
0.1	0.7398	0.8468	0.03701262316071729
0.15	0.6614	0.8002	0.04240034986673858
0.2	0.5681	0.7443	0.04856921485682995
0.25	0.4438	0.6626000000000001	0.05695396227805826
0.3	0.33409999999999995	0.5633	0.0660710893657338
0.35	0.2167	0.4282	0.07854386686075233
0.4	0.07630000000000003	0.20699999999999996	0.10549202690496155
0.45	0.0034999999999999476	0.01870000000000005	0.1776354260705986
0.5	0.0030000000000000027	0.017199999999999993	0.18069644985332414
rand_hmm after 15 iterations:
probList_rand_true size: 421902
fp	fn-15	fn-half-15	threshold
0.0	0.9235	0.9706	0.014290545944316356
1.0E-4	0.8204	0.9192	0.021088492345646578
2.0E-4	0.8204	0.9192	0.021088492345646578
3.0E-4	0.7571	0.8885	0.024370785937929892
4.0E-4	0.7571	0.8885	0.024370785937929892
5.0E-4	0.7518	0.8862	0.02471234352468435
6.0E-4	0.7518	0.8862	0.02471234352468435
7.0E-4	0.7518	0.8862	0.02471234352468435
8.0E-4	0.7075	0.8582	0.02710850886569308
9.0E-4	0.7075	0.8582	0.02710850886569308
0.001	0.7075	0.858	0.027121752739179838
0.002	0.685	0.8448	0.02843729342104588
0.003	0.6651	0.8348	0.029498754138015525
0.004	0.6514	0.8288	0.030114210710987948
0.005	0.6422	0.8245	0.030566932675771208
0.006	0.6337999999999999	0.8176	0.031092496711845052
0.007	0.6304000000000001	0.815	0.0312719066377628
0.008	0.6236999999999999	0.8106	0.03163376508204093
0.009	0.6206	0.8089999999999999	0.031800324042712456
0.01	0.6192	0.8077	0.03192022962986017
0.02	0.5760000000000001	0.7797000000000001	0.034369005861870375
0.03	0.5408	0.7561	0.03629960908140221
0.04	0.5075000000000001	0.7287	0.038301816900303966
0.05	0.48950000000000005	0.7137	0.03946066676337938
0.06	0.46709999999999996	0.6992	0.040811517202014126
0.07	0.43879999999999997	0.677	0.04259293024079484
